Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,3755.74,3836.86,3643.25,3790.55,264924564.0
2000-01-04,3766.57,3766.57,3542.73,3546.2,265235088.0
2000-01-05,3543.13,3576.17,3371.75,3507.31,304503512.0
2000-01-06,3488.31,3513.55,3334.02,3340.81,280407018.0
2000-01-07,3337.26,3529.75,3314.75,3529.6,286829833.0
2000-01-10,3558.21,3756.17,3558.21,3717.41,296791220.0
2000-01-11,3715.22,3717.17,3517.79,3544.35,297273690.0
2000-01-12,3548.77,3572.62,3447.9,3478.14,267701760.0
2000-01-13,3495.83,3612.43,3494.39,3612.08,259117541.0
2000-01-14,3653.3,3744.89,3653.3,3704.74,290636845.0
2000-01-18,3704.74,3779.56,3665.87,3757.78,278110518.0
2000-01-19,3741.45,3803.72,3711.96,3790.89,289861412.0
2000-01-20,3798.84,3877.43,3782.43,3841.74,324789468.0
2000-01-21,3841.74,3891.81,3806.58,3849.96,337487719.0
2000-01-24,3888.33,3905.1,3660.86,3660.96,348956138.0
2000-01-25,3667.02,3759.33,3591.34,3759.11,305899992.0
2000-01-26,3762.69,3762.69,3621.1,3621.21,301228059.0
2000-01-27,3628.88,3701.3,3512.07,3593.15,315519304.0
2000-01-28,3595.89,3618.08,3408.03,3446.13,283573693.0
2000-01-31,3438.09,3570.59,3349.06,3570.05,264496483.0
2000-02-01,3580.29,3703.59,3544.93,3701.78,245305263.0
2000-02-02,3700.2,3785.36,3693.95,3724.46,268049112.0
2000-02-03,3726.13,3857.34,3704.23,3851.16,302163155.0
2000-02-04,3858.6,3929.81,3856.83,3874.37,307271927.0
2000-02-07,3873.43,3933.75,3858.89,3933.34,285182451.0
2000-02-08,3932.24,4063.79,3932.24,4062.77,345821058.0
2000-02-09,4061.74,4087.84,3966.33,3968.46,311507020.0
2000-02-10,3974.83,4090.07,3956.9,4090.0,318173687.0
2000-02-11,4090.26,4090.26,3933.78,3968.89,305015781.0
