Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-04,18937.45,19187.61,18937.45,19002.86,
2000-01-05,19003.51,19003.51,18221.82,18542.55,
2000-01-06,18574.01,18582.74,18168.27,18168.27,
2000-01-07,18194.05,18285.73,18068.1,18193.41,
2000-01-11,18246.1,18887.56,18246.1,18850.92,
2000-01-12,18780.17,18811.87,18626.92,18677.42,
2000-01-13,18667.18,18845.03,18667.18,18833.29,
2000-01-14,18882.99,19058.02,18733.83,18956.55,
2000-01-17,19025.62,19442.58,19025.62,19437.23,
2000-01-18,19412.47,19412.47,19145.17,19196.57,
2000-01-19,19181.87,19181.87,18897.75,18897.75,
2000-01-20,18930.26,19167.03,18921.11,19008.01,
2000-01-21,18994.89,18994.89,18713.17,18878.09,
2000-01-24,18878.46,19124.57,18877.13,19056.71,
2000-01-25,19004.39,19131.19,18815.37,18895.53,
2000-01-26,18982.84,19145.9,18982.84,19111.19,
2000-01-27,19125.62,19238.08,18971.68,19209.72,
2000-01-28,19261.01,19595.83,19237.49,19434.78,
2000-01-31,19375.11,19539.7,19224.47,19539.7,
2000-02-01,19536.68,19553.68,19266.96,19423.38,
2000-02-02,19522.33,19860.26,19522.33,19578.91,
2000-02-03,19648.35,19878.83,19648.35,19786.42,
2000-02-04,19866.19,20011.91,19752.12,19763.13,
2000-02-07,19832.76,19948.6,19780.56,19945.43,
2000-02-08,19955.3,19983.44,19834.81,19868.88,
2000-02-09,19930.41,20046.14,19925.64,20007.77,
2000-02-10,19915.53,19915.56,19710.02,19710.02,
2000-02-14,19698.57,19748.42,19556.46,19556.46,
2000-02-15,19587.82,19689.16,19331.05,19367.83,
2000-02-16,19418.56,19612.6,19300.14,19599.18,
2000-02-17,19646.37,19803.69,19518.08,19791.4,
2000-02-18,19852.18,19862.94,19670.05,19789.03,
2000-02-21,19736.15,19763.51,19549.95,19587.36,
2000-02-22,19553.62,19712.37,19353.4,19390.58,
2000-02-23,19439.17,19527.79,19373.04,19519.55,
2000-02-24,19616.26,19698.95,19558.04,19571.44,
2000-02-25,19623.38,19817.88,19539.0,19817.88,
2000-02-28,19783.44,19904.86,19713.86,19720.1,
2000-02-29,19761.52,19978.75,19747.02,19959.52,
2000-03-01,20030.08,20165.51,20007.64,20081.67,
2000-03-02,20097.59,20202.96,19903.29,20065.11,
2000-03-03,20023.04,20034.6,19859.42,19927.54,
2000-03-06,20041.48,20160.03,19742.58,19796.35,
2000-03-07,19802.54,19942.75,19705.02,19942.75,
2000-03-08,19856.37,19856.37,19692.04,19766.8,
2000-03-09,19751.72,19885.54,19614.82,19662.33,
2000-03-10,19734.84,19982.44,19686.5,19750.4,
2000-03-13,19731.5,19760.35,19060.08,19189.93,
2000-03-14,19139.57,19335.22,18956.25,19141.84,
2000-03-15,19120.06,19120.06,18765.88,19078.6,
2000-03-16,19095.63,19313.18,18892.26,19253.23,
2000-03-17,19335.6,19573.48,19335.6,19566.32,
2000-03-21,19598.53,19602.36,19455.11,19602.36,
2000-03-22,19612.23,19734.43,19602.88,19733.59,
2000-03-23,19749.51,19762.3,19568.77,19704.6,
2000-03-24,19752.16,20012.41,19697.57,19958.08,
2000-03-27,19976.14,20295.69,19880.11,20281.03,
2000-03-28,20273.68,20388.18,20014.08,20374.34,
2000-03-29,20406.56,20809.18,20406.56,20706.65,
2000-03-30,20706.45,20809.79,20439.44,20441.5,
2000-03-31,20371.07,20550.1,20259.35,20337.32,
2000-04-03,20327.79,20726.99,20271.92,20726.99,
2000-04-04,20747.82,20747.82,20536.33,20594.93,
2000-04-05,20546.6,20654.63,20311.79,20462.77,
2000-04-06,20476.23,20556.97,20171.62,20223.61,
2000-04-07,20269.59,20463.67,20252.81,20252.81,
2000-04-10,20368.81,20640.11,20368.81,20619.06,
2000-04-11,20544.4,20656.87,20516.94,20522.52,
2000-04-12,20475.96,20833.21,20436.74,20833.21,
2000-04-13,20736.4,20736.4,20385.16,20526.42,
2000-04-14,20456.48,20604.37,20330.89,20434.68,
2000-04-17,20341.5,20341.5,18603.87,19008.64,
2000-04-18,19089.0,19330.4,18547.38,18969.52,
2000-04-19,18998.06,19192.63,18794.48,19086.62,
2000-04-20,19041.53,19382.44,18959.32,18959.32,
2000-04-21,19050.68,19269.06,18091.1,18252.68,
2000-04-24,18247.48,18987.34,18247.48,18480.15,
2000-04-25,18433.3,18630.3,18176.83,18272.33,
2000-04-26,18326.9,18439.18,17948.36,18134.31,
2000-04-27,18122.7,18245.44,18012.41,18019.17,
2000-04-28,18035.54,18137.01,17926.43,17973.7,
2000-05-01,17979.25,18403.08,17979.25,18403.08,
2000-05-02,18497.52,18586.16,18428.92,18439.36,
2000-05-08,18465.71,18475.45,18189.8,18199.96,
2000-05-09,18152.37,18152.37,17804.04,17844.54,
2000-05-10,17799.21,17803.44,17393.59,17701.47,
2000-05-11,17605.65,17605.65,16779.42,16882.46,
2000-05-12,16963.87,17362.2,16963.87,17357.86,
2000-05-15,17396.45,17396.45,17192.71,17313.69,
2000-05-16,17342.84,17558.51,17283.52,17551.25,
2000-05-17,17588.81,17691.39,17348.88,17404.03,
2000-05-18,17365.09,17365.09,16971.82,17031.63,
2000-05-19,16960.29,16960.29,16572.05,16858.17,
2000-05-22,16802.66,16802.66,16174.4,16386.01,
2000-05-23,16345.26,16493.7,16169.93,16318.73,
2000-05-24,16237.88,16261.33,15876.34,16044.44,
2000-05-25,16090.36,16374.06,16090.36,16247.82,
