Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,104.51,104.51,104.51,104.51,
2000-01-04,108.08,108.08,108.08,108.08,
2000-01-05,106.42,106.42,106.42,106.42,
2000-01-06,104.48,104.48,104.48,104.48,
2000-01-07,106.86,106.86,106.86,106.86,
2000-01-10,107.64,107.64,107.64,107.64,
2000-01-11,108.35,108.35,108.35,108.35,
2000-01-12,108.8,108.8,108.8,108.8,
2000-01-13,110.56,110.56,110.56,110.56,
2000-01-14,109.4,109.4,109.4,109.4,
2000-01-17,110.1,110.1,110.1,110.1,
2000-01-18,107.91,107.91,107.91,107.91,
2000-01-19,108.56,108.56,108.56,108.56,
2000-01-20,107.84,107.84,107.84,107.84,
2000-01-21,109.14,109.14,109.14,109.14,
2000-01-24,109.01,109.01,109.01,109.01,
2000-01-25,108.93,108.93,108.93,108.93,
2000-01-26,110.5,110.5,110.5,110.5,
2000-01-27,109.66,109.66,109.66,109.66,
2000-01-28,110.17,110.17,110.17,110.17,
2000-01-31,111.14,111.14,111.14,111.14,
2000-02-01,109.79,109.79,109.79,109.79,
2000-02-02,109.22,109.22,109.22,109.22,
2000-02-03,109.5,109.5,109.5,109.5,
2000-02-04,109.99,109.99,109.99,109.99,
2000-02-07,109.01,109.01,109.01,109.01,
2000-02-08,110.55,110.55,110.55,110.55,
2000-02-09,110.14,110.14,110.14,110.14,
2000-02-10,110.31,110.31,110.31,110.31,
2000-02-11,109.2,109.2,109.2,109.2,
2000-02-14,108.98,108.98,108.98,108.98,
2000-02-15,110.42,110.42,110.42,110.42,
2000-02-16,112.21,112.21,112.21,112.21,
2000-02-17,111.86,111.86,111.86,111.86,
2000-02-18,111.51,111.51,111.51,111.51,
2000-02-21,110.98,110.98,110.98,110.98,
2000-02-22,110.61,110.61,110.61,110.61,
2000-02-23,109.19,109.19,109.19,109.19,
2000-02-24,109.29,109.29,109.29,109.29,
2000-02-25,108.58,108.58,108.58,108.58,
2000-02-28,107.78,107.78,107.78,107.78,
2000-02-29,107.2,107.2,107.2,107.2,
2000-03-01,108.6,108.6,108.6,108.6,
2000-03-02,110.36,110.36,110.36,110.36,
2000-03-03,113.32,113.32,113.32,113.32,
2000-03-06,113.58,113.58,113.58,113.58,
2000-03-07,113.52,113.52,113.52,113.52,
