Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,1211.79,1211.79,1211.79,1211.79,
2000-01-04,1182.03,1182.03,1182.03,1182.03,
2000-01-05,1131.3,1131.3,1131.3,1131.3,
2000-01-07,1152.54,1152.54,1152.54,1152.54,
2000-01-10,1184.77,1184.77,1184.77,1184.77,
2000-01-11,1190.34,1190.34,1190.34,1190.34,
2000-01-12,1190.15,1190.15,1190.15,1190.15,
2000-01-13,1195.48,1195.48,1195.48,1195.48,
2000-01-14,1217.95,1217.95,1217.95,1217.95,
2000-01-17,1245.69,1245.69,1245.69,1245.69,
2000-01-18,1215.4,1215.4,1215.4,1215.4,
2000-01-19,1213.77,1213.77,1213.77,1213.77,
2000-01-20,1217.73,1217.73,1217.73,1217.73,
2000-01-21,1218.19,1218.19,1218.19,1218.19,
2000-01-24,1229.51,1229.51,1229.51,1229.51,
2000-01-25,1215.41,1215.41,1215.41,1215.41,
2000-01-26,1226.31,1226.31,1226.31,1226.31,
2000-01-27,1214.75,1214.75,1214.75,1214.75,
2000-01-28,1245.99,1245.99,1245.99,1245.99,
2000-01-31,1220.23,1220.23,1220.23,1220.23,
2000-02-01,1261.15,1261.15,1261.15,1261.15,
2000-02-02,1313.84,1313.84,1313.84,1313.84,
2000-02-03,1318.61,1318.61,1318.61,1318.61,
2000-02-04,1329.3,1329.3,1329.3,1329.3,
2000-02-07,1349.28,1349.28,1349.28,1349.28,
2000-02-08,1356.27,1356.27,1356.27,1356.27,
2000-02-09,1363.34,1363.34,1363.34,1363.34,
2000-02-10,1371.14,1371.14,1371.14,1371.14,
2000-02-11,1379.14,1379.14,1379.14,1379.14,
2000-02-14,1350.31,1350.31,1350.31,1350.31,
2000-02-15,1309.94,1309.94,1309.94,1309.94,
2000-02-16,1343.31,1343.31,1343.31,1343.31,
2000-02-17,1352.06,1352.06,1352.06,1352.06,
2000-02-18,1371.35,1371.35,1371.35,1371.35,
2000-02-21,1376.3,1376.3,1376.3,1376.3,
2000-02-22,1347.83,1347.83,1347.83,1347.83,
2000-02-23,1365.03,1365.03,1365.03,1365.03,
