Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,141.54,141.54,141.54,141.54,
2000-01-04,140.49,140.49,140.49,140.49,
2000-01-05,136.31,136.31,136.31,136.31,
2000-01-06,135.74,135.74,135.74,135.74,
2000-01-07,136.38,136.38,136.38,136.38,
2000-01-10,138.52,138.52,138.52,138.52,
2000-01-11,138.77,138.77,138.77,138.77,
2000-01-12,137.52,137.52,137.52,137.52,
2000-01-13,136.47,136.47,136.47,136.47,
2000-01-14,139.31,139.31,139.31,139.31,
2000-01-17,140.06,140.06,140.06,140.06,
2000-01-18,137.81,137.81,137.81,137.81,
2000-01-19,136.64,136.64,136.64,136.64,
2000-01-20,137.1,137.1,137.1,137.1,
2000-01-21,138.5,138.5,138.5,138.5,
2000-01-24,140.3,140.3,140.3,140.3,
2000-01-25,138.14,138.14,138.14,138.14,
2000-01-26,138.53,138.53,138.53,138.53,
2000-01-27,137.9,137.9,137.9,137.9,
2000-01-28,138.48,138.48,138.48,138.48,
2000-01-31,138.46,138.46,138.46,138.46,
2000-02-01,142.04,142.04,142.04,142.04,
2000-02-02,143.42,143.42,143.42,143.42,
2000-02-03,143.39,143.39,143.39,143.39,
2000-02-04,143.17,143.17,143.17,143.17,
2000-02-07,141.45,141.45,141.45,141.45,
2000-02-08,143.53,143.53,143.53,143.53,
2000-02-09,146.06,146.06,146.06,146.06,
2000-02-10,146.07,146.07,146.07,146.07,
2000-02-11,148.69,148.69,148.69,148.69,
2000-02-14,154.63,154.63,154.63,154.63,
2000-02-15,160.3,160.3,160.3,160.3,
2000-02-16,165.53,165.53,165.53,165.53,
2000-02-17,164.46,164.46,164.46,164.46,
2000-02-18,164.32,164.32,164.32,164.32,
2000-02-21,160.59,160.59,160.59,160.59,
2000-02-22,164.99,164.99,164.99,164.99,
2000-02-23,169.64,169.64,169.64,169.64,
2000-02-24,169.64,169.64,169.64,169.64,
2000-02-25,171.81,171.81,171.81,171.81,
2000-02-28,170.41,170.41,170.41,170.41,
2000-02-29,165.45,165.45,165.45,165.45,
2000-03-01,167.44,167.44,167.44,167.44,
2000-03-02,168.06,168.06,168.06,168.06,
2000-03-03,168.2,168.2,168.2,168.2,
2000-03-06,169.5,169.5,169.5,169.5,
2000-03-07,167.24,167.24,167.24,167.24,
2000-03-08,167.39,167.39,167.39,167.39,
2000-03-09,167.87,167.87,167.87,167.87,
2000-03-10,167.7,167.7,167.7,167.7,
2000-03-13,170.47,170.47,170.47,170.47,
2000-03-14,171.99,171.99,171.99,171.99,
2000-03-15,171.9,171.9,171.9,171.9,
2000-03-16,169.07,169.07,169.07,169.07,
2000-03-17,170.32,170.32,170.32,170.32,
2000-03-20,168.04,168.04,168.04,168.04,
2000-03-21,166.58,166.58,166.58,166.58,
2000-03-22,168.86,168.86,168.86,168.86,
2000-03-23,168.73,168.73,168.73,168.73,
2000-03-24,169.5,169.5,169.5,169.5,
2000-03-27,170.0,170.0,170.0,170.0,
2000-03-28,172.65,172.65,172.65,172.65,
2000-03-29,176.04,176.04,176.04,176.04,
2000-03-30,174.68,174.68,174.68,174.68,
