Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,100.0,100.0,100.0,100.0,
2000-01-04,100.94,100.94,100.94,100.94,
2000-01-05,101.02,101.02,101.02,101.02,
2000-01-06,101.13,101.13,101.13,101.13,
2000-01-07,101.65,101.65,101.65,101.65,
2000-01-10,102.5,102.5,102.5,102.5,
2000-01-11,102.94,102.94,102.94,102.94,
2000-01-12,103.6,103.6,103.6,103.6,
2000-01-13,103.6,103.6,103.6,103.6,
2000-01-14,104.53,104.53,104.53,104.53,
2000-01-17,104.58,104.58,104.58,104.58,
2000-01-18,104.53,104.53,104.53,104.53,
2000-01-19,104.69,104.69,104.69,104.69,
2000-01-20,104.49,104.49,104.49,104.49,
2000-01-21,104.11,104.11,104.11,104.11,
2000-01-24,103.22,103.22,103.22,103.22,
2000-01-25,103.18,103.18,103.18,103.18,
2000-01-26,103.37,103.37,103.37,103.37,
2000-01-27,103.12,103.12,103.12,103.12,
2000-01-28,102.48,102.48,102.48,102.48,
2000-01-31,102.1,102.1,102.1,102.1,
2000-02-01,102.09,102.09,102.09,102.09,
2000-02-02,102.21,102.21,102.21,102.21,
2000-02-03,102.51,102.51,102.51,102.51,
2000-02-04,102.53,102.53,102.53,102.53,
2000-02-07,102.36,102.36,102.36,102.36,
2000-02-08,101.46,101.46,101.46,101.46,
2000-02-09,101.41,101.41,101.41,101.41,
2000-02-10,101.17,101.17,101.17,101.17,
2000-02-11,101.33,101.33,101.33,101.33,
2000-02-14,101.54,101.54,101.54,101.54,
2000-02-15,101.73,101.73,101.73,101.73,
2000-02-16,101.73,101.73,101.73,101.73,
2000-02-17,102.18,102.18,102.18,102.18,
2000-02-18,102.3,102.3,102.3,102.3,
2000-02-21,102.42,102.42,102.42,102.42,
2000-02-22,102.55,102.55,102.55,102.55,
2000-02-23,100.66,100.66,100.66,100.66,
2000-02-24,101.12,101.12,101.12,101.12,
2000-02-25,100.53,100.53,100.53,100.53,
2000-02-28,100.51,100.51,100.51,100.51,
2000-02-29,100.17,100.17,100.17,100.17,
2000-03-01,100.38,100.38,100.38,100.38,
2000-03-02,100.88,100.88,100.88,100.88,
2000-03-03,101.48,101.48,101.48,101.48,
2000-03-06,101.66,101.66,101.66,101.66,
2000-03-07,102.14,102.14,102.14,102.14,
2000-03-08,102.1,102.1,102.1,102.1,
2000-03-09,102.61,102.61,102.61,102.61,
2000-03-10,103.2,103.2,103.2,103.2,
2000-03-13,103.25,103.25,103.25,103.25,
2000-03-14,103.59,103.59,103.59,103.59,
2000-03-15,105.04,105.04,105.04,105.04,
2000-03-16,106.72,106.72,106.72,106.72,
2000-03-17,105.39,105.39,105.39,105.39,
2000-03-20,105.01,105.01,105.01,105.01,
2000-03-21,103.99,103.99,103.99,103.99,
2000-03-22,103.15,103.15,103.15,103.15,
2000-03-23,103.25,103.25,103.25,103.25,
2000-03-24,103.57,103.57,103.57,103.57,
2000-03-27,103.22,103.22,103.22,103.22,
2000-03-28,102.99,102.99,102.99,102.99,
2000-03-29,102.39,102.39,102.39,102.39,
2000-03-30,102.22,102.22,102.22,102.22,
2000-03-31,102.34,102.34,102.34,102.34,
2000-04-03,102.54,102.54,102.54,102.54,
2000-04-04,103.19,103.19,103.19,103.19,
2000-04-05,102.67,102.67,102.67,102.67,
2000-04-06,102.29,102.29,102.29,102.29,
2000-04-07,102.02,102.02,102.02,102.02,
2000-04-10,101.1,101.1,101.1,101.1,
2000-04-11,101.21,101.21,101.21,101.21,
2000-04-12,101.52,101.52,101.52,101.52,
2000-04-13,101.03,101.03,101.03,101.03,
2000-04-14,100.82,100.82,100.82,100.82,
2000-04-17,99.72,99.72,99.72,99.72,
2000-04-18,99.56,99.56,99.56,99.56,
2000-04-19,99.86,99.86,99.86,99.86,
2000-04-20,100.16,100.16,100.16,100.16,
2000-04-21,100.2,100.2,100.2,100.2,
2000-04-24,100.2,100.2,100.2,100.2,
2000-04-25,100.53,100.53,100.53,100.53,
2000-04-26,100.67,100.67,100.67,100.67,
2000-04-27,100.26,100.26,100.26,100.26,
2000-04-28,100.76,100.76,100.76,100.76,
2000-05-01,100.7,100.7,100.7,100.7,
2000-05-02,100.99,100.99,100.99,100.99,
2000-05-03,100.85,100.85,100.85,100.85,
2000-05-04,101.45,101.45,101.45,101.45,
2000-05-05,101.19,101.19,101.19,101.19,
2000-05-08,101.25,101.25,101.25,101.25,
2000-05-09,100.31,100.31,100.31,100.31,
2000-05-10,100.52,100.52,100.52,100.52,
2000-05-11,100.68,100.68,100.68,100.68,
2000-05-12,100.66,100.66,100.66,100.66,
2000-05-15,100.51,100.51,100.51,100.51,
2000-05-16,100.8,100.8,100.8,100.8,
2000-05-17,101.05,101.05,101.05,101.05,
2000-05-18,100.78,100.78,100.78,100.78,
2000-05-19,102.29,102.29,102.29,102.29,
2000-05-22,101.85,101.85,101.85,101.85,
2000-05-23,101.42,101.42,101.42,101.42,
2000-05-24,101.68,101.68,101.68,101.68,
2000-05-25,101.61,101.61,101.61,101.61,
2000-05-26,101.52,101.52,101.52,101.52,
2000-05-29,101.46,101.46,101.46,101.46,
2000-05-30,100.6,100.6,100.6,100.6,
2000-05-31,100.31,100.31,100.31,100.31,
2000-06-01,99.59,99.59,99.59,99.59,
