Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,175.99,181.97,175.99,178.34,
2000-01-04,176.78,176.78,170.38,171.56,
2000-01-05,171.56,171.56,164.65,167.0,
2000-01-06,167.0,169.04,165.99,167.43,
2000-01-07,167.43,170.08,167.43,169.82,
2000-01-10,169.82,174.08,169.82,174.05,
2000-01-11,174.05,174.16,171.58,172.5,
2000-01-12,172.5,172.5,168.91,168.92,
2000-01-13,168.92,173.02,168.87,172.23,
2000-01-14,172.23,174.15,171.74,173.04,
2000-01-17,173.04,173.67,170.57,172.61,
2000-01-18,172.61,173.61,171.47,172.11,
2000-01-19,172.11,172.58,171.23,171.59,
2000-01-20,171.59,172.91,171.58,171.85,
2000-01-21,171.85,172.27,170.81,171.87,
2000-01-24,171.87,174.22,171.86,173.77,
2000-01-25,173.77,173.77,169.45,169.97,
2000-01-26,169.97,172.52,169.65,171.11,
2000-01-27,171.11,171.57,169.97,171.09,
2000-01-28,171.19,171.41,168.49,170.07,
2000-01-31,170.07,170.07,164.74,164.79,
2000-02-01,164.79,167.86,164.4,164.41,
2000-02-02,164.41,167.46,164.41,166.96,
2000-02-03,166.96,170.07,166.96,169.12,
2000-02-04,169.12,170.49,167.86,169.49,
2000-02-07,169.49,170.19,168.05,169.1,
2000-02-08,169.1,171.83,168.97,170.97,
2000-02-09,170.97,172.4,168.8,169.09,
2000-02-10,169.09,171.55,167.23,171.37,
2000-02-11,171.37,173.53,169.69,171.21,
2000-02-14,171.21,172.99,170.12,172.3,
2000-02-15,172.3,175.2,169.77,170.67,
2000-02-16,170.67,173.23,169.79,170.2,
2000-02-17,170.2,170.86,168.03,169.44,
2000-02-18,169.44,171.17,169.44,170.47,
2000-02-21,170.47,170.47,166.3,169.42,
2000-02-22,169.42,171.27,169.25,170.49,
2000-02-23,170.49,173.9,170.35,173.51,
2000-02-24,173.51,176.85,172.95,173.46,
2000-02-25,173.46,176.22,172.48,173.05,
2000-02-28,173.05,173.18,169.44,171.49,
2000-02-29,171.49,173.91,171.35,172.5,
2000-03-01,172.5,178.29,172.47,178.06,
2000-03-02,178.06,179.03,176.8,178.11,
2000-03-03,178.11,180.44,178.11,179.32,
2000-03-06,179.32,181.47,179.23,180.47,
2000-03-07,180.47,186.97,180.02,186.02,
2000-03-08,186.02,187.99,183.75,184.18,
2000-03-09,184.18,185.74,182.48,183.42,
2000-03-10,183.42,186.08,181.97,182.59,
2000-03-13,182.59,182.68,174.55,176.79,
2000-03-14,176.79,179.6,176.32,178.76,
2000-03-15,178.76,179.97,175.16,175.57,
2000-03-16,175.57,178.85,173.73,175.23,
2000-03-17,175.23,181.03,173.92,175.1,
2000-03-20,175.1,176.96,174.84,175.72,
2000-03-21,175.72,176.02,173.3,174.06,
2000-03-22,174.06,176.68,173.85,174.79,
2000-03-23,174.79,176.71,174.54,176.37,
2000-03-24,176.37,178.38,175.3,176.11,
2000-03-27,176.11,176.87,174.15,174.49,
2000-03-28,174.49,175.7,173.72,174.35,
2000-03-29,174.35,174.38,171.82,172.22,
2000-03-30,172.22,172.49,168.72,170.49,
2000-03-31,170.49,175.35,169.41,174.95,
2000-04-03,174.95,176.24,172.56,174.84,
2000-04-04,174.84,175.85,173.16,173.66,
2000-04-05,173.66,173.85,163.62,166.07,
2000-04-06,166.07,171.53,166.06,170.64,
2000-04-07,170.64,174.97,170.63,172.43,
2000-04-10,172.43,173.78,172.14,172.87,
2000-04-11,172.87,172.87,169.26,170.47,
2000-04-12,170.47,170.71,168.57,169.53,
2000-04-13,169.53,169.53,165.83,167.26,
2000-04-14,167.26,167.94,162.85,163.72,
2000-04-17,163.72,163.72,154.26,161.62,
2000-04-18,161.62,165.45,160.41,164.34,
2000-04-19,164.34,167.61,164.34,167.32,
2000-04-25,167.32,168.42,166.08,168.35,
2000-04-26,168.35,170.28,168.34,170.22,
2000-04-27,170.22,170.25,165.3,167.26,
2000-04-28,167.26,171.33,167.02,170.05,
2000-05-02,170.05,173.89,170.05,172.54,
2000-05-03,172.54,173.91,171.34,173.49,
2000-05-04,173.49,175.1,171.4,174.53,
2000-05-05,174.53,175.41,172.67,173.95,
2000-05-08,173.95,175.34,173.12,175.03,
2000-05-09,175.03,176.53,174.64,176.03,
2000-05-10,176.03,176.34,173.9,174.37,
2000-05-11,174.37,175.98,172.84,175.05,
2000-05-12,175.05,178.38,174.89,177.88,
2000-05-15,177.88,178.71,177.2,177.87,
2000-05-16,177.87,181.96,177.86,179.87,
2000-05-18,179.87,184.7,179.67,183.8,
2000-05-19,183.8,183.89,179.66,180.24,
2000-05-22,180.24,181.62,178.3,178.79,
2000-05-23,178.79,181.2,177.38,179.26,
2000-05-24,179.26,179.39,175.65,176.84,
2000-05-25,176.84,178.6,176.84,178.39,
2000-05-26,178.39,178.4,176.03,176.28,
2000-05-29,176.28,177.41,174.87,175.45,
2000-05-30,175.45,177.65,175.4,177.29,
2000-05-31,177.29,179.76,176.27,176.66,
2000-06-02,176.66,180.57,176.66,179.96,
2000-06-05,179.96,180.43,177.86,178.3,
2000-06-06,178.3,178.8,175.87,176.18,
2000-06-07,176.18,177.66,175.62,176.88,
2000-06-08,176.88,178.4,176.88,178.06,
2000-06-09,178.06,179.75,177.35,179.26,
2000-06-13,179.26,180.89,177.83,180.53,
2000-06-14,180.53,181.23,179.43,180.15,
2000-06-15,180.15,182.33,180.15,180.44,
2000-06-16,180.44,183.27,180.1,182.76,
2000-06-19,182.76,183.13,181.89,182.48,
2000-06-20,182.48,183.44,181.07,181.62,
2000-06-21,181.62,181.75,179.51,180.0,
2000-06-22,180.0,181.23,180.0,181.18,
2000-06-23,181.18,183.83,180.27,182.99,
2000-06-26,182.99,183.67,182.41,183.67,
2000-06-27,183.67,185.06,183.46,184.44,
2000-06-28,184.44,186.29,183.67,185.54,
2000-06-29,185.54,185.85,184.01,184.13,
2000-06-30,184.13,187.56,184.06,185.84,
2000-07-03,185.84,187.3,185.84,187.07,
2000-07-04,187.07,188.01,186.12,186.33,
2000-07-05,186.33,187.14,185.59,186.07,
2000-07-06,186.07,187.0,185.26,186.6,
2000-07-07,186.6,188.72,186.53,188.4,
2000-07-10,188.4,188.94,187.05,187.44,
2000-07-11,187.44,187.48,186.07,187.31,
2000-07-12,187.31,191.22,187.31,190.08,
2000-07-13,190.08,192.34,190.08,192.1,
2000-07-14,192.1,192.61,191.3,191.93,
2000-07-17,191.93,192.94,191.5,191.81,
2000-07-18,191.81,192.53,191.22,191.87,
2000-07-19,191.87,193.25,191.59,192.07,
2000-07-20,192.07,193.23,192.02,193.15,
2000-07-21,193.15,194.27,192.92,193.71,
2000-07-24,193.71,195.07,192.89,194.84,
2000-07-25,194.84,194.84,192.94,194.03,
2000-07-26,194.03,194.71,193.36,194.37,
2000-07-27,194.37,194.48,192.28,192.65,
2000-07-28,192.65,193.7,192.51,193.55,
2000-07-31,193.55,193.63,192.08,192.93,
2000-08-01,192.93,193.88,192.54,193.38,
2000-08-02,193.38,194.08,192.15,193.22,
2000-08-03,193.22,193.88,190.94,192.4,
2000-08-04,192.4,195.91,192.4,195.29,
2000-08-07,195.29,196.71,194.3,195.62,
2000-08-08,195.62,196.91,195.61,196.14,
2000-08-09,196.14,199.07,196.14,199.05,
2000-08-10,199.05,200.27,197.47,197.49,
2000-08-11,197.49,200.06,197.44,199.56,
2000-08-14,199.56,205.39,199.52,204.6,
2000-08-15,204.6,206.18,203.59,204.68,
2000-08-16,204.68,206.3,204.38,206.26,
2000-08-17,206.26,207.47,205.36,206.48,
2000-08-18,206.48,207.9,206.04,206.83,
2000-08-21,206.83,210.95,206.65,210.95,
2000-08-22,210.95,212.06,208.18,208.82,
2000-08-23,208.82,211.7,208.52,211.66,
2000-08-24,211.66,215.17,211.43,214.33,
2000-08-25,214.33,215.17,212.56,213.82,
2000-08-28,213.82,214.07,211.02,211.53,
2000-08-29,211.53,213.78,210.7,211.99,
2000-08-30,211.99,212.2,210.2,211.23,
2000-08-31,211.23,213.86,210.78,213.83,
2000-09-01,213.83,216.38,213.72,214.37,
2000-09-04,214.37,214.37,211.69,212.18,
2000-09-05,212.18,212.3,209.52,210.21,
2000-09-06,210.21,211.11,207.79,209.89,
2000-09-07,209.89,213.04,209.73,211.05,
2000-09-08,211.05,213.28,211.0,211.76,
2000-09-11,211.76,213.47,210.39,212.25,
2000-09-12,212.25,216.03,212.25,215.04,
2000-09-13,215.04,216.59,212.8,213.92,
2000-09-14,213.92,218.06,213.5,218.01,
2000-09-15,218.01,218.35,215.32,217.06,
2000-09-18,217.06,217.83,214.29,216.63,
2000-09-19,216.63,217.9,215.16,215.94,
2000-09-20,215.94,215.99,212.45,212.6,
2000-09-21,212.6,213.37,208.84,210.85,
2000-09-22,210.85,210.85,204.36,207.18,
2000-09-25,207.18,209.74,207.12,207.68,
2000-09-26,207.68,207.69,206.03,207.15,
2000-09-27,207.15,209.9,207.13,209.05,
2000-09-28,209.05,209.7,207.55,207.87,
2000-09-29,207.87,210.01,207.67,208.67,
2000-10-02,208.67,211.09,208.08,210.25,
2000-10-03,210.25,213.2,209.98,213.11,
2000-10-04,213.11,213.68,209.21,209.84,
2000-10-05,209.84,210.41,208.55,209.15,
2000-10-06,209.15,209.96,208.12,209.96,
2000-10-09,209.96,209.96,206.74,207.01,
2000-10-10,207.01,208.89,206.04,207.11,
2000-10-11,207.11,207.18,200.31,202.22,
2000-10-12,202.22,203.7,201.57,201.87,
2000-10-13,201.87,201.87,197.54,199.97,
2000-10-16,199.97,202.83,199.97,201.04,
2000-10-17,201.04,201.56,198.34,198.8,
2000-10-18,198.8,198.8,191.44,192.97,
2000-10-19,192.97,201.34,192.97,200.17,
2000-10-20,200.17,202.59,196.43,200.72,
2000-10-23,200.72,203.69,200.72,203.07,
2000-10-24,203.07,207.54,203.07,207.54,
2000-10-25,207.54,207.7,203.34,204.67,
2000-10-26,204.67,206.95,203.37,205.63,
2000-10-27,205.63,207.31,205.57,207.31,
2000-10-30,207.31,207.76,204.46,204.95,
2000-10-31,204.95,209.02,204.95,208.97,
2000-11-01,208.97,210.78,208.15,209.75,
2000-11-02,209.75,211.76,209.41,211.45,
2000-11-03,211.45,213.74,211.3,213.74,
2000-11-06,213.74,215.46,212.86,215.32,
2000-11-07,215.32,215.32,212.41,212.93,
2000-11-08,212.93,214.33,211.74,212.86,
2000-11-09,212.86,212.86,210.44,211.7,
2000-11-10,211.7,211.82,206.86,207.86,
2000-11-13,207.86,207.86,202.02,202.84,
2000-11-14,202.84,206.46,202.84,205.28,
2000-11-15,205.28,205.51,201.33,202.18,
2000-11-16,202.18,202.56,199.86,201.0,
2000-11-17,201.0,202.25,201.0,201.88,
2000-11-20,201.88,203.13,199.28,199.41,
2000-11-21,199.41,201.5,197.17,197.85,
2000-11-22,197.85,197.87,190.4,191.27,
2000-11-23,191.27,194.0,190.79,193.76,
2000-11-24,193.76,198.21,193.76,197.35,
2000-11-27,197.35,200.85,197.3,200.42,
2000-11-28,200.42,200.54,196.66,196.67,
2000-11-29,196.67,197.0,194.33,196.34,
2000-11-30,196.34,196.79,187.15,189.61,
2000-12-01,189.61,192.17,189.07,190.94,
2000-12-04,190.94,192.12,183.37,183.37,
2000-12-05,183.37,186.77,183.37,185.65,
2000-12-06,185.65,190.31,185.65,186.64,
2000-12-07,186.64,187.14,183.48,184.03,
2000-12-08,184.03,186.36,183.95,185.45,
2000-12-11,185.45,188.7,185.45,188.15,
2000-12-12,188.15,191.26,187.04,188.98,
2000-12-13,188.98,193.98,188.93,193.45,
2000-12-14,193.45,193.51,189.82,189.92,
2000-12-15,189.92,189.97,184.89,185.19,
2000-12-18,185.19,187.19,184.74,184.98,
2000-12-19,184.98,188.13,184.67,186.18,
2000-12-20,186.18,186.18,179.75,180.9,
2000-12-21,180.9,182.77,177.42,178.67,
2000-12-22,178.67,183.57,178.67,183.55,
2000-12-27,183.55,189.17,183.49,189.03,
2000-12-28,189.03,191.31,188.98,191.25,
2000-12-29,191.25,192.83,190.33,190.71,
2001-01-02,190.71,196.08,190.32,193.52,
2001-01-03,193.52,193.65,184.56,186.1,
2001-01-04,186.1,192.31,186.1,190.47,
2001-01-05,190.47,193.19,190.17,191.42,
2001-01-08,191.42,192.15,190.39,192.07,
2001-01-09,192.07,192.55,188.58,190.09,
2001-01-10,190.09,190.34,188.39,188.97,
2001-01-11,188.97,190.39,187.84,188.43,
2001-01-12,188.43,191.17,187.91,189.37,
2001-01-15,189.37,190.99,188.86,189.29,
2001-01-16,189.29,190.03,186.37,187.45,
2001-01-17,187.45,192.51,187.45,191.52,
2001-01-18,191.52,193.03,190.26,191.36,
2001-01-19,191.36,192.61,190.29,190.66,
2001-01-22,190.66,191.0,187.9,188.99,
2001-01-23,188.99,190.42,187.71,189.93,
2001-01-24,189.93,192.96,189.93,191.06,
2001-01-25,191.06,191.38,188.78,189.62,
2001-01-26,189.62,190.97,187.64,190.58,
2001-01-29,190.58,191.67,188.34,188.36,
2001-01-30,188.36,190.78,188.33,190.74,
2001-01-31,190.74,193.41,189.95,193.41,
2001-02-01,193.41,195.04,191.92,193.89,
2001-02-02,193.89,195.04,193.87,194.37,
2001-02-05,194.36,194.4,192.65,193.26,
2001-02-06,193.26,195.77,193.25,195.15,
2001-02-07,195.15,195.15,193.4,194.81,
2001-02-08,194.81,196.46,194.59,195.43,
2001-02-09,195.43,195.69,193.58,194.38,
2001-02-12,194.38,194.57,191.28,191.47,
2001-02-13,191.47,192.82,191.1,192.79,
2001-02-14,192.79,192.81,190.07,190.84,
2001-02-15,190.84,191.91,189.88,190.46,
2001-02-16,190.46,190.63,188.49,189.79,
2001-02-19,189.79,192.12,189.22,191.76,
2001-02-20,191.76,193.75,191.76,192.57,
2001-02-21,192.57,192.81,190.15,191.27,
2001-02-22,191.27,192.81,190.86,192.63,
2001-02-23,192.63,192.91,190.28,191.63,
2001-02-26,191.63,192.62,191.45,192.62,
2001-02-27,192.62,193.15,192.09,192.59,
2001-02-28,192.59,193.1,190.94,192.14,
2001-03-01,192.14,192.14,186.92,187.14,
2001-03-02,187.14,188.87,186.98,187.4,
2001-03-05,187.4,190.17,187.4,190.06,
2001-03-06,190.06,193.91,190.06,193.91,
2001-03-07,193.91,193.98,191.5,192.55,
2001-03-08,192.55,193.92,192.24,192.74,
2001-03-09,192.74,192.76,191.15,191.41,
2001-03-12,191.41,191.41,186.76,187.44,
2001-03-13,187.44,187.44,182.51,183.9,
2001-03-14,183.9,185.05,176.18,177.99,
2001-03-15,177.99,182.04,177.0,181.77,
2001-03-16,181.77,181.77,179.48,179.48,
2001-03-19,179.48,180.46,177.0,177.34,
2001-03-20,177.34,180.43,177.34,179.75,
2001-03-21,179.75,179.76,176.72,177.64,
2001-03-22,177.64,177.64,171.75,173.02,
2001-03-23,173.02,174.89,172.18,173.26,
2001-03-26,173.26,175.3,173.26,175.3,
2001-03-27,175.3,177.96,175.3,177.12,
2001-03-28,177.12,177.69,174.89,175.54,
2001-03-29,175.54,175.73,172.8,175.31,
2001-03-30,175.31,177.81,175.31,177.72,
2001-04-02,177.72,179.4,176.57,177.84,
2001-04-03,177.84,177.84,174.6,175.04,
2001-04-04,175.04,175.04,171.45,173.94,
2001-04-05,173.94,177.43,173.93,177.43,
2001-04-06,177.43,178.54,176.31,177.04,
2001-04-09,177.04,177.63,175.84,177.42,
2001-04-10,177.42,181.17,177.42,181.12,
2001-04-11,181.12,183.02,181.1,182.95,
2001-04-17,182.95,183.0,179.98,181.3,
2001-04-18,181.3,183.5,181.27,183.04,
