Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-05,484.5,484.5,484.5,484.5,
2000-01-06,494.9,494.9,494.9,494.9,
2000-01-07,499.4,499.4,499.4,499.4,
2000-01-10,506.8,506.8,506.8,506.8,
2000-01-11,506.4,506.4,506.4,506.4,
2000-01-12,502.3,502.3,502.3,502.3,
2000-01-13,505.2,505.2,505.2,505.2,
2000-01-14,516.5,516.5,516.5,516.5,
2000-01-17,522.7,522.7,522.7,522.7,
2000-01-18,521.6,521.6,521.6,521.6,
2000-01-19,527.1,527.1,527.1,527.1,
2000-01-20,540.4,540.4,540.4,540.4,
2000-01-21,548.9,548.9,548.9,548.9,
2000-01-24,546.2,546.2,546.2,546.2,
2000-01-25,536.5,536.5,536.5,536.5,
2000-01-26,542.9,542.9,542.9,542.9,
2000-01-27,550.7,550.7,550.7,550.7,
2000-01-28,552.7,552.7,552.7,552.7,
2000-01-31,554.3,554.3,554.3,554.3,
2000-02-01,568.7,568.7,568.7,568.7,
2000-02-02,577.0,577.0,577.0,577.0,
2000-02-03,580.2,580.2,580.2,580.2,
2000-02-04,579.5,579.5,579.5,579.5,
2000-02-07,586.3,586.3,586.3,586.3,
2000-02-08,594.6,594.6,594.6,594.6,
2000-02-09,594.0,594.0,594.0,594.0,
2000-02-10,605.1,605.1,605.1,605.1,
2000-02-11,626.9,626.9,626.9,626.9,
2000-02-14,624.2,624.2,624.2,624.2,
2000-02-15,624.0,624.0,624.0,624.0,
2000-02-16,628.9,628.9,628.9,628.9,
2000-02-17,642.1,642.1,642.1,642.1,
2000-02-18,634.6,634.6,634.6,634.6,
2000-02-21,626.1,626.1,626.1,626.1,
2000-02-22,631.7,631.7,631.7,631.7,
2000-02-23,637.9,637.9,637.9,637.9,
2000-02-24,650.3,650.3,650.3,650.3,
2000-02-25,639.4,639.4,639.4,639.4,
2000-02-28,634.0,634.0,634.0,634.0,
2000-02-29,644.8,644.8,644.8,644.8,
2000-03-01,644.3,644.3,644.3,644.3,
2000-03-02,637.2,637.2,637.2,637.2,
2000-03-03,662.6,662.6,662.6,662.6,
2000-03-06,659.9,659.9,659.9,659.9,
2000-03-07,661.3,661.3,661.3,661.3,
2000-03-08,656.7,656.7,656.7,656.7,
2000-03-09,649.8,649.8,649.8,649.8,
2000-03-10,666.6,666.6,666.6,666.6,
2000-03-13,660.2,660.2,660.2,660.2,
2000-03-14,673.5,673.5,673.5,673.5,
2000-03-15,664.8,664.8,664.8,664.8,
2000-03-16,671.0,671.0,671.0,671.0,
2000-03-17,666.6,666.6,666.6,666.6,
2000-03-20,660.3,660.3,660.3,660.3,
2000-03-21,656.9,656.9,656.9,656.9,
