Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-07,77.46,77.46,77.46,77.46,
2000-01-10,78.59,78.59,78.59,78.59,
2000-01-11,78.25,78.25,78.25,78.25,
2000-01-12,78.25,78.25,78.25,78.25,
2000-01-13,79.96,79.96,79.96,79.96,
2000-01-14,79.39,79.39,79.39,79.39,
2000-01-17,79.45,79.45,79.45,79.45,
2000-01-18,79.43,79.43,79.43,79.43,
2000-01-19,79.74,79.74,79.74,79.74,
2000-01-20,79.95,79.95,79.95,79.95,
2000-01-21,80.45,80.45,80.45,80.45,
2000-01-24,77.38,77.38,77.38,77.38,
2000-01-25,77.38,77.38,77.38,77.38,
2000-01-26,77.38,77.38,77.38,77.38,
2000-01-27,77.26,77.26,77.26,77.26,
2000-01-28,77.26,77.26,77.26,77.26,
2000-01-31,75.31,75.31,75.31,75.31,
2000-02-01,75.31,75.31,75.31,75.31,
2000-02-02,75.01,75.01,75.01,75.01,
2000-02-03,75.01,75.01,75.01,75.01,
2000-02-04,75.01,75.01,75.01,75.01,
2000-02-07,77.11,77.11,77.11,77.11,
2000-02-08,76.96,76.96,76.96,76.96,
2000-02-09,75.3,75.3,75.3,75.3,
2000-02-10,75.3,75.3,75.3,75.3,
2000-02-11,75.3,75.3,75.3,75.3,
2000-02-14,74.97,74.97,74.97,74.97,
2000-02-15,74.69,74.69,74.69,74.69,
2000-02-16,74.61,74.61,74.61,74.61,
2000-02-17,74.75,74.75,74.75,74.75,
2000-02-18,74.7,74.7,74.7,74.7,
2000-02-21,74.41,74.41,74.41,74.41,
2000-02-22,74.65,74.65,74.65,74.65,
2000-02-23,74.27,74.27,74.27,74.27,
2000-02-24,74.13,74.13,74.13,74.13,
2000-02-25,74.27,74.27,74.27,74.27,
2000-02-28,74.27,74.27,74.27,74.27,
2000-02-29,74.03,74.03,74.03,74.03,
2000-03-01,74.17,74.17,74.17,74.17,
2000-03-02,71.48,71.48,71.48,71.48,
2000-03-03,72.33,72.33,72.33,72.33,
2000-03-06,72.75,72.75,72.75,72.75,
2000-03-07,72.76,72.76,72.76,72.76,
2000-03-08,72.76,72.76,72.76,72.76,
2000-03-09,70.89,70.89,70.89,70.89,
2000-03-10,70.19,70.19,70.19,70.19,
2000-03-13,73.53,73.53,73.53,73.53,
2000-03-14,73.97,73.97,73.97,73.97,
2000-03-15,73.48,73.48,73.48,73.48,
2000-03-16,73.11,73.11,73.11,73.11,
2000-03-17,74.16,74.16,74.16,74.16,
2000-03-20,74.65,74.65,74.65,74.65,
2000-03-21,74.09,74.09,74.09,74.09,
2000-03-22,77.38,77.38,77.38,77.38,
2000-03-23,77.24,77.24,77.24,77.24,
2000-03-24,78.79,78.79,78.79,78.79,
2000-03-27,77.32,77.32,77.32,77.32,
2000-03-28,77.83,77.83,77.83,77.83,
2000-03-29,77.91,77.91,77.91,77.91,
2000-03-30,77.91,77.91,77.91,77.91,
2000-03-31,77.91,77.91,77.91,77.91,
2000-04-03,81.59,81.59,81.59,81.59,
2000-04-04,80.31,80.31,80.31,80.31,
2000-04-05,80.31,80.31,80.31,80.31,
2000-04-06,80.02,80.02,80.02,80.02,
2000-04-07,82.71,82.71,82.71,82.71,
2000-04-10,82.71,82.71,82.71,82.71,
2000-04-11,83.59,83.59,83.59,83.59,
2000-04-12,83.59,83.59,83.59,83.59,
2000-04-13,83.38,83.38,83.38,83.38,
2000-04-14,83.18,83.18,83.18,83.18,
2000-04-17,83.06,83.06,83.06,83.06,
2000-04-18,83.01,83.01,83.01,83.01,
2000-04-19,84.88,84.88,84.88,84.88,
2000-04-20,84.24,84.24,84.24,84.24,
2000-04-25,82.72,82.72,82.72,82.72,
2000-04-26,82.9,82.9,82.9,82.9,
2000-04-27,82.68,82.68,82.68,82.68,
2000-04-28,78.09,78.09,78.09,78.09,
2000-05-02,78.09,78.09,78.09,78.09,
2000-05-03,78.34,78.34,78.34,78.34,
2000-05-04,80.04,80.04,80.04,80.04,
2000-05-05,80.07,80.07,80.07,80.07,
2000-05-09,75.83,75.83,75.83,75.83,
2000-05-10,76.4,76.4,76.4,76.4,
2000-05-11,76.4,76.4,76.4,76.4,
2000-05-12,77.3,77.3,77.3,77.3,
2000-05-15,77.3,77.3,77.3,77.3,
2000-05-16,77.3,77.3,77.3,77.3,
2000-05-17,77.3,77.3,77.3,77.3,
2000-05-18,74.74,74.74,74.74,74.74,
2000-05-19,74.74,74.74,74.74,74.74,
2000-05-22,74.88,74.88,74.88,74.88,
2000-05-23,75.63,75.63,75.63,75.63,
2000-05-24,76.15,76.15,76.15,76.15,
2000-05-25,76.15,76.15,76.15,76.15,
2000-05-26,76.39,76.39,76.39,76.39,
2000-05-29,75.99,75.99,75.99,75.99,
2000-05-30,75.61,75.61,75.61,75.61,
2000-05-31,75.98,75.98,75.98,75.98,
2000-06-01,75.45,75.45,75.45,75.45,
2000-06-02,75.82,75.82,75.82,75.82,
2000-06-05,75.82,75.82,75.82,75.82,
2000-06-06,76.93,76.93,76.93,76.93,
2000-06-07,77.08,77.08,77.08,77.08,
2000-06-08,76.51,76.51,76.51,76.51,
2000-06-09,76.56,76.56,76.56,76.56,
2000-06-12,76.24,76.24,76.24,76.24,
2000-06-13,76.54,76.54,76.54,76.54,
2000-06-14,76.85,76.85,76.85,76.85,
2000-06-15,77.0,77.0,77.0,77.0,
2000-06-16,76.88,76.88,76.88,76.88,
2000-06-19,73.54,73.54,73.54,73.54,
2000-06-20,73.08,73.08,73.08,73.08,
2000-06-21,73.38,73.38,73.38,73.38,
2000-06-22,73.83,73.83,73.83,73.83,
2000-06-23,74.17,74.17,74.17,74.17,
2000-06-26,74.38,74.38,74.38,74.38,
2000-06-27,74.38,74.38,74.38,74.38,
2000-06-28,74.51,74.51,74.51,74.51,
2000-06-29,73.6,73.6,73.6,73.6,
2000-06-30,73.66,73.66,73.66,73.66,
2000-07-03,73.66,73.66,73.66,73.66,
2000-07-04,73.66,73.66,73.66,73.66,
2000-07-06,73.19,73.19,73.19,73.19,
2000-07-07,73.74,73.74,73.74,73.74,
2000-07-10,73.75,73.75,73.75,73.75,
2000-07-11,73.75,73.75,73.75,73.75,
2000-07-12,74.25,74.25,74.25,74.25,
2000-07-13,74.44,74.44,74.44,74.44,
2000-07-14,74.94,74.94,74.94,74.94,
2000-07-17,74.94,74.94,74.94,74.94,
2000-07-18,73.23,73.23,73.23,73.23,
2000-07-19,73.23,73.23,73.23,73.23,
2000-07-20,72.06,72.06,72.06,72.06,
2000-07-21,72.06,72.06,72.06,72.06,
2000-07-24,73.71,73.71,73.71,73.71,
2000-07-25,73.71,73.71,73.71,73.71,
2000-07-26,75.25,75.25,75.25,75.25,
2000-07-27,77.42,77.42,77.42,77.42,
2000-07-28,76.75,76.75,76.75,76.75,
2000-07-31,79.8,79.8,79.8,79.8,
2000-08-01,78.98,78.98,78.98,78.98,
2000-08-02,79.33,79.33,79.33,79.33,
2000-08-03,82.14,82.14,82.14,82.14,
2000-08-04,82.51,82.51,82.51,82.51,
2000-08-07,83.06,83.06,83.06,83.06,
2000-08-08,83.23,83.23,83.23,83.23,
2000-08-09,83.23,83.23,83.23,83.23,
2000-08-10,83.76,83.76,83.76,83.76,
2000-08-11,85.48,85.48,85.48,85.48,
2000-08-14,84.33,84.33,84.33,84.33,
2000-08-15,85.07,85.07,85.07,85.07,
2000-08-16,85.07,85.07,85.07,85.07,
2000-08-17,89.06,89.06,89.06,89.06,
2000-08-18,88.91,88.91,88.91,88.91,
2000-08-21,89.01,89.01,89.01,89.01,
2000-08-22,89.43,89.43,89.43,89.43,
2000-08-23,89.92,89.92,89.92,89.92,
2000-08-24,90.34,90.34,90.34,90.34,
2000-08-25,90.3,90.3,90.3,90.3,
2000-08-28,86.21,86.21,86.21,86.21,
2000-08-30,87.72,87.72,87.72,87.72,
2000-08-31,88.95,88.95,88.95,88.95,
2000-09-04,90.41,90.41,90.41,90.41,
2000-09-05,90.23,90.23,90.23,90.23,
2000-09-06,89.79,89.79,89.79,89.79,
2000-09-07,91.23,91.23,91.23,91.23,
2000-09-08,91.43,91.43,91.43,91.43,
2000-09-11,89.73,89.73,89.73,89.73,
2000-09-12,91.57,91.57,91.57,91.57,
2000-09-13,90.26,90.26,90.26,90.26,
2000-09-14,90.9,90.9,90.9,90.9,
2000-09-18,91.61,91.61,91.61,91.61,
2000-09-19,90.85,90.85,90.85,90.85,
2000-09-20,90.32,90.32,90.32,90.32,
2000-09-21,91.18,91.18,91.18,91.18,
2000-09-22,90.26,90.26,90.26,90.26,
2000-09-25,90.04,90.04,90.04,90.04,
2000-09-26,89.41,89.41,89.41,89.41,
2000-09-27,89.48,89.48,89.48,89.48,
2000-09-28,88.67,88.67,88.67,88.67,
2000-09-29,89.48,89.48,89.48,89.48,
2000-10-02,89.48,89.48,89.48,89.48,
2000-10-03,91.14,91.14,91.14,91.14,
2000-10-04,92.41,92.41,92.41,92.41,
2000-10-05,93.94,93.94,93.94,93.94,
2000-10-06,93.37,93.37,93.37,93.37,
2000-10-09,91.95,91.95,91.95,91.95,
2000-10-10,91.77,91.77,91.77,91.77,
2000-10-11,90.08,90.08,90.08,90.08,
2000-10-12,91.45,91.45,91.45,91.45,
2000-10-13,90.36,90.36,90.36,90.36,
2000-10-16,92.6,92.6,92.6,92.6,
2000-10-17,91.11,91.11,91.11,91.11,
2000-10-18,91.82,91.82,91.82,91.82,
2000-10-19,94.26,94.26,94.26,94.26,
2000-10-20,98.59,98.59,98.59,98.59,
2000-10-23,98.74,98.74,98.74,98.74,
2000-10-24,98.37,98.37,98.37,98.37,
2000-10-25,98.21,98.21,98.21,98.21,
2000-10-26,96.67,96.67,96.67,96.67,
2000-10-27,93.51,93.51,93.51,93.51,
2000-10-30,93.39,93.39,93.39,93.39,
2000-10-31,94.77,94.77,94.77,94.77,
2000-11-02,94.24,94.24,94.24,94.24,
2000-11-03,92.96,92.96,92.96,92.96,
2000-11-06,92.13,92.13,92.13,92.13,
2000-11-07,92.06,92.06,92.06,92.06,
2000-11-08,91.81,91.81,91.81,91.81,
2000-11-09,91.94,91.94,91.94,91.94,
2000-11-10,91.97,91.97,91.97,91.97,
2000-11-13,90.72,90.72,90.72,90.72,
2000-11-14,89.87,89.87,89.87,89.87,
2000-11-15,91.26,91.26,91.26,91.26,
2000-11-16,92.8,92.8,92.8,92.8,
2000-11-17,92.52,92.52,92.52,92.52,
2000-11-20,92.71,92.71,92.71,92.71,
2000-11-21,92.97,92.97,92.97,92.97,
2000-11-22,94.68,94.68,94.68,94.68,
2000-11-23,95.53,95.53,95.53,95.53,
