Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-04,490.32,499.52,490.01,498.46,
2000-01-05,471.52,477.17,464.06,465.85,
2000-01-06,467.32,469.86,443.46,443.46,
2000-01-07,449.45,455.07,440.78,453.31,
2000-01-10,466.25,471.27,458.13,459.47,
2000-01-11,465.74,468.79,452.27,452.48,
2000-01-12,448.01,459.62,447.12,459.62,
2000-01-13,459.14,462.19,456.49,458.4,
2000-01-14,461.66,474.37,460.14,474.37,
2000-01-17,482.4,485.74,476.2,477.09,
2000-01-18,478.84,484.16,478.29,484.16,
2000-01-19,481.13,488.64,479.9,486.33,
2000-01-20,488.58,495.08,485.96,486.64,
2000-01-21,483.71,489.18,476.36,478.92,
2000-01-24,481.68,483.34,473.71,477.22,
2000-01-25,470.52,473.73,469.49,473.22,
2000-01-26,477.66,478.87,469.11,469.22,
2000-01-27,471.01,475.4,470.07,474.91,
2000-01-28,476.32,478.95,473.2,477.45,
2000-01-31,474.4,480.2,472.75,477.57,
2000-02-01,482.22,483.43,474.39,474.39,
2000-02-02,477.14,480.21,470.62,470.62,
2000-02-03,470.96,474.68,464.39,465.78,
2000-02-04,467.08,471.63,462.3,470.34,
2000-02-07,470.54,474.79,470.47,471.97,
2000-02-08,472.66,474.22,465.83,465.94,
2000-02-09,468.74,470.27,455.75,456.02,
2000-02-10,452.89,458.49,448.2,453.1,
2000-02-11,457.28,462.56,454.53,456.12,
2000-02-14,456.27,458.84,445.72,447.56,
2000-02-15,449.33,450.59,430.97,430.97,
2000-02-16,432.71,433.71,422.48,422.83,
2000-02-17,424.28,426.99,405.79,405.81,
2000-02-18,407.01,412.24,400.68,408.35,
2000-02-22,406.02,406.02,379.43,379.43,
2000-02-23,379.75,393.42,375.79,389.0,
2000-02-24,392.44,399.61,391.3,395.1,
2000-02-25,395.71,407.17,394.45,406.66,
2000-02-28,403.15,404.19,388.39,388.39,
2000-02-29,392.21,394.79,374.32,374.32,
2000-03-01,376.89,380.02,368.08,371.56,
2000-03-02,374.73,391.66,374.02,391.39,
2000-03-03,395.48,397.93,383.13,383.13,
2000-03-06,382.51,385.35,377.87,379.27,
2000-03-07,378.56,382.83,375.95,380.35,
2000-03-08,373.44,386.46,372.73,385.56,
2000-03-09,390.18,397.44,390.18,393.23,
2000-03-10,400.26,403.76,397.73,402.4,
2000-03-13,402.22,402.22,388.11,390.15,
2000-03-14,390.53,401.28,389.78,400.37,
2000-03-15,399.92,402.48,386.2,386.2,
2000-03-16,391.77,396.44,389.42,395.83,
2000-03-17,407.56,407.78,399.74,399.74,
2000-03-20,401.15,402.89,398.2,400.99,
2000-03-21,401.74,404.73,397.07,398.26,
2000-03-22,401.5,402.19,391.94,395.15,
2000-03-23,396.75,401.5,396.33,399.03,
2000-03-24,402.29,409.61,401.32,404.16,
2000-03-27,406.85,412.34,406.57,408.24,
2000-03-28,409.78,416.34,409.78,412.44,
2000-03-29,416.56,416.92,409.62,410.69,
2000-03-30,410.96,412.57,396.98,399.59,
2000-03-31,397.12,401.01,396.67,400.32,
2000-04-03,397.89,401.4,397.83,399.74,
2000-04-04,397.98,397.98,391.16,392.7,
2000-04-05,392.96,395.33,390.85,395.33,
2000-04-07,398.49,403.74,398.46,403.45,
2000-04-10,403.95,407.37,403.15,403.32,
2000-04-11,401.02,402.79,398.92,400.74,
2000-04-12,402.71,415.6,402.71,414.45,
2000-04-17,388.3,393.32,387.6,392.88,
2000-04-18,399.31,402.48,385.25,385.25,
2000-04-19,388.88,391.97,388.61,391.22,
2000-04-20,392.57,394.35,389.18,389.48,
2000-04-21,390.93,395.06,390.93,395.06,
2000-04-24,395.42,397.23,393.22,395.0,
2000-04-25,395.43,397.7,394.54,396.48,
2000-04-26,398.09,398.83,394.56,394.56,
2000-04-27,394.69,397.9,393.36,393.36,
2000-04-28,393.74,394.69,389.58,390.4,
