Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-04,37.91,38.17,37.42,38.15,
2000-01-05,38.15,38.77,37.89,38.15,
2000-01-06,38.15,38.98,37.98,38.98,
2000-01-07,38.98,41.03,38.98,40.68,
2000-01-10,40.68,41.27,40.13,40.3,
2000-01-11,40.3,40.37,38.97,39.23,
2000-01-12,39.23,39.3,38.16,38.39,
2000-01-13,38.39,38.54,37.8,38.15,
2000-01-14,38.15,38.36,37.68,37.84,
2000-01-17,37.84,38.28,37.62,37.87,
2000-01-18,37.87,37.95,37.48,37.83,
2000-01-19,37.83,38.58,37.77,38.5,
2000-01-20,38.5,39.01,38.49,38.73,
2000-01-21,38.73,38.82,38.4,38.59,
2000-01-24,38.59,38.71,37.8,38.12,
2000-01-25,38.16,38.16,38.16,38.16,
2000-01-26,38.16,38.7,38.15,38.62,
2000-01-27,38.62,40.36,38.56,39.81,
2000-01-28,39.81,41.14,39.77,40.72,
2000-02-14,40.72,43.07,40.68,43.05,
2000-02-15,43.05,44.07,41.33,41.52,
2000-02-16,41.52,42.11,40.54,40.93,
2000-02-17,40.93,41.49,39.07,39.32,
2000-02-18,39.32,40.12,38.97,40.09,
2000-02-21,40.09,40.32,38.99,39.45,
2000-02-22,39.45,39.45,37.93,38.25,
2000-02-23,38.25,38.35,37.21,37.67,
2000-02-24,37.67,38.16,37.61,38.13,
2000-02-25,38.13,38.16,37.54,37.66,
2000-02-28,37.66,37.83,37.29,37.83,
2000-02-29,37.83,38.22,37.63,38.22,
2000-03-01,38.22,38.6,37.89,38.11,
2000-03-02,38.11,38.11,37.53,37.85,
2000-03-03,37.85,37.93,37.31,37.35,
2000-03-06,37.35,37.6,36.24,36.41,
2000-03-07,36.41,36.52,36.13,36.52,
2000-03-08,36.52,36.95,36.52,36.95,
2000-03-09,36.95,36.96,36.41,36.9,
2000-03-10,36.9,36.9,36.6,36.85,
2000-03-13,36.85,37.11,36.55,37.11,
2000-03-14,37.11,37.11,36.17,36.7,
2000-03-15,36.7,36.71,36.37,36.61,
2000-03-16,36.61,36.67,35.47,35.69,
2000-03-17,35.69,37.55,35.69,37.51,
2000-03-20,37.51,37.51,36.8,37.1,
2000-03-21,37.1,37.17,36.63,36.95,
2000-03-22,36.95,37.39,36.61,37.2,
2000-03-23,37.2,40.39,37.04,40.04,
2000-03-24,40.04,41.06,39.45,39.68,
2000-03-27,39.68,41.89,39.68,41.83,
2000-03-28,41.83,42.28,41.53,41.86,
2000-03-29,41.86,42.07,40.47,41.29,
2000-03-30,41.29,41.73,41.07,41.73,
2000-03-31,41.73,41.85,40.85,41.85,
2000-04-03,41.85,43.15,41.7,42.48,
2000-04-04,42.48,42.49,41.34,41.64,
2000-04-05,41.64,42.14,41.0,41.5,
2000-04-06,41.5,42.34,41.49,42.34,
2000-04-07,42.34,42.61,41.9,42.37,
2000-04-10,42.37,42.49,42.08,42.18,
2000-04-11,42.18,42.47,41.96,42.46,
2000-04-12,42.46,42.54,41.6,42.11,
2000-04-13,42.11,43.0,42.07,42.96,
2000-04-14,42.96,42.97,42.66,42.88,
2000-04-17,42.88,42.88,40.6,41.18,
2000-04-18,41.18,41.72,41.16,41.72,
2000-04-19,41.72,41.9,41.53,41.74,
2000-04-20,41.74,41.82,41.6,41.78,
2000-04-21,41.78,42.56,41.76,42.49,
2000-04-24,42.49,43.92,41.45,43.46,
2000-04-25,43.46,43.67,42.84,43.04,
2000-04-26,43.04,43.45,42.93,43.14,
2000-04-27,43.14,43.21,42.61,42.72,
2000-04-28,42.72,43.1,42.36,43.1,
2000-05-08,43.1,43.26,42.19,42.3,
2000-05-10,41.33,41.37,40.78,41.11,
2000-05-11,41.11,41.11,40.75,40.96,
2000-05-12,40.96,41.17,40.74,41.11,
2000-05-15,41.11,41.38,41.05,41.38,
2000-05-16,41.38,42.1,41.33,42.1,
2000-05-17,42.1,42.1,41.64,41.77,
2000-05-18,41.77,42.27,41.76,42.27,
2000-05-19,42.27,42.45,42.21,42.43,
2000-05-22,42.43,44.15,42.32,43.96,
2000-05-23,43.96,44.43,43.81,44.16,
2000-05-24,44.16,46.99,44.13,46.7,
2000-05-25,46.7,47.92,46.25,46.96,
2000-05-26,46.92,47.75,46.3,47.5,
2000-05-29,47.5,51.7,47.47,51.69,
2000-05-30,51.69,53.54,50.0,50.5,
2000-05-31,50.5,55.2,50.36,55.15,
2000-06-01,55.15,57.34,55.0,56.47,
2000-06-02,56.47,57.01,55.25,56.66,
2000-06-05,56.66,58.01,53.52,53.81,
2000-06-06,53.81,55.24,53.24,54.57,
2000-06-07,54.18,56.58,54.18,55.66,
2000-06-08,55.66,55.81,52.33,52.92,
2000-06-09,52.92,53.46,50.2,51.27,
2000-06-12,51.27,52.43,50.81,52.43,
2000-06-13,52.43,55.92,52.38,55.87,
2000-06-14,55.85,56.82,55.22,55.36,
2000-06-15,55.36,55.57,54.71,55.57,
2000-06-16,55.57,56.69,55.22,55.56,
2000-06-19,55.56,55.6,54.57,54.82,
2000-06-20,54.82,54.82,52.38,53.2,
2000-06-21,53.2,54.44,52.91,54.2,
2000-06-22,54.2,54.54,53.67,53.99,
2000-06-23,53.92,55.34,53.56,55.28,
2000-06-26,55.28,56.7,55.18,56.43,
2000-06-27,56.37,57.01,55.99,56.54,
2000-06-28,56.54,57.05,56.12,56.27,
2000-06-29,56.27,56.32,55.18,55.87,
2000-06-30,55.75,56.29,55.59,56.02,
2000-07-03,56.02,56.02,54.51,54.82,
2000-07-04,54.82,55.06,54.39,55.06,
2000-07-05,55.06,56.33,55.06,55.54,
