Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-04,7484.8,7485.4,7266.7,7268.1,
2000-01-05,7153.1,7265.5,7114.1,7181.3,
2000-01-06,7177.2,7301.9,7174.7,7280.6,
2000-01-07,7338.7,7448.0,7338.1,7448.0,
2000-01-10,7518.7,7544.0,7447.3,7452.8,
2000-01-11,7440.8,7477.2,7380.9,7420.1,
2000-01-12,7374.3,7450.9,7345.9,7440.2,
2000-01-13,7451.8,7487.6,7417.5,7436.9,
2000-01-14,7483.7,7525.5,7471.7,7513.9,
2000-01-17,7536.2,7543.5,7493.9,7507.0,
2000-01-18,7510.9,7523.4,7402.7,7404.8,
2000-01-19,7385.9,7387.6,7326.7,7336.8,
2000-01-20,7372.5,7376.8,7248.9,7251.2,
2000-01-21,7180.7,7304.5,7179.4,7236.0,
2000-01-24,7260.0,7273.0,7127.9,7127.9,
2000-01-25,7082.8,7120.8,6943.7,6954.8,
2000-01-26,7014.2,7024.3,6952.4,6963.6,
2000-01-27,7025.8,7124.6,7020.0,7113.4,
2000-01-28,7125.9,7156.1,7021.8,7029.6,
2000-01-31,6988.3,7038.4,6894.5,6894.7,
2000-02-01,6985.2,7049.6,6985.1,7025.2,
2000-02-02,7094.7,7098.4,6999.7,7097.4,
2000-02-03,7115.1,7232.8,7096.5,7182.9,
2000-02-04,7233.1,7254.2,7113.9,7148.7,
2000-02-07,7147.2,7215.4,7100.3,7131.3,
2000-02-08,7162.1,7219.0,7128.7,7130.9,
2000-02-09,7147.8,7188.2,7029.3,7031.7,
2000-02-10,6986.4,7053.3,6956.9,6998.0,
2000-02-11,7016.1,7031.8,6898.1,6973.4,
2000-02-14,6938.6,6990.3,6921.1,6921.7,
2000-02-15,6934.2,6969.4,6805.8,6806.4,
2000-02-16,6883.4,6945.0,6863.2,6933.3,
2000-02-17,6939.3,7107.1,6931.7,7029.4,
2000-02-18,7077.4,7089.0,7012.1,7047.0,
2000-02-21,6991.8,7007.6,6949.9,6962.7,
2000-02-22,6967.9,7056.7,6964.1,7037.5,
2000-02-23,7080.9,7123.3,7079.2,7091.7,
2000-02-24,7135.6,7136.0,7040.3,7043.8,
2000-02-25,7117.3,7140.3,6970.4,6989.1,
2000-02-28,6975.5,7012.6,6829.9,6917.8,
2000-02-29,6966.7,6973.8,6898.8,6910.1,
2000-03-01,6934.8,6974.7,6927.8,6959.1,
2000-03-02,6988.9,7060.1,6932.5,7052.4,
2000-03-03,7069.2,7097.6,7017.2,7025.3,
2000-03-06,7056.8,7115.9,7038.0,7087.7,
2000-03-07,7078.6,7152.7,7007.0,7050.2,
2000-03-08,7019.1,7046.3,6936.6,6945.5,
2000-03-09,6974.6,7008.9,6877.8,6902.0,
2000-03-10,6954.5,6965.9,6906.5,6907.9,
2000-03-13,6866.7,6879.8,6739.3,6781.4,
2000-03-14,6820.9,6850.0,6798.8,6838.2,
2000-03-15,6812.0,6865.1,6765.6,6856.3,
2000-03-16,6962.0,7136.0,6949.2,7131.5,
2000-03-17,7309.0,7370.9,7083.8,7100.6,
2000-03-20,7110.1,7170.1,7082.2,7166.9,
2000-03-21,7198.2,7266.8,7145.0,7266.3,
2000-03-22,7319.2,7388.2,7309.1,7388.2,
2000-03-23,7398.0,7400.9,7303.9,7360.2,
2000-03-24,7412.4,7442.6,7363.5,7440.4,
2000-03-27,7420.0,7477.2,7366.0,7366.0,
2000-03-28,7358.3,7421.1,7351.1,7372.1,
2000-03-29,7387.4,7429.0,7360.8,7401.5,
2000-03-30,7375.7,7395.5,7280.0,7382.8,
2000-03-31,7388.8,7462.6,7373.8,7428.1,
2000-04-03,7455.7,7522.8,7399.8,7522.8,
2000-04-04,7568.8,7609.8,7556.0,7606.4,
2000-04-05,7567.9,7567.9,7420.3,7490.4,
2000-04-06,7514.1,7540.3,7427.7,7476.1,
2000-04-07,7481.5,7494.2,7436.5,7450.8,
2000-04-10,7475.2,7483.8,7389.7,7410.7,
2000-04-11,7406.0,7500.4,7390.1,7471.5,
2000-04-12,7493.2,7600.3,7493.2,7550.6,
2000-04-13,7517.6,7611.2,7507.1,7581.3,
2000-04-14,7539.2,7569.1,7474.9,7494.4,
2000-04-17,7255.6,7346.3,7216.9,7329.6,
2000-04-18,7379.4,7386.3,7275.3,7340.2,
2000-04-19,7385.6,7391.4,7316.4,7354.1,
2000-04-20,7333.4,7385.8,7333.4,7371.1,
2000-04-25,7385.0,7451.4,7369.1,7433.2,
2000-04-26,7451.9,7493.7,7409.7,7437.8,
2000-04-27,7415.4,7439.3,7337.8,7400.8,
2000-04-28,7426.7,7472.6,7414.7,7427.8,
2000-05-02,7418.2,7551.0,7407.0,7527.0,
2000-05-03,7508.2,7538.7,7469.8,7496.7,
2000-05-04,7475.9,7514.6,7463.1,7499.9,
2000-05-05,7496.5,7506.7,7441.2,7499.4,
2000-05-08,7513.3,7521.4,7425.0,7521.3,
2000-05-09,7537.8,7602.3,7535.1,7595.4,
2000-05-10,7595.4,7645.5,7581.9,7587.5,
2000-05-11,7551.1,7720.3,7533.1,7706.9,
2000-05-12,7731.1,7742.2,7687.9,7736.7,
2000-05-15,7740.6,7759.3,7709.2,7722.9,
2000-05-16,7761.3,7796.4,7727.0,7768.0,
2000-05-17,7755.1,7755.7,7705.9,7728.7,
2000-05-18,7715.6,7807.1,7704.9,7795.6,
2000-05-19,7812.9,7819.6,7713.9,7718.7,
2000-05-22,7729.9,7777.6,7693.8,7711.7,
2000-05-23,7770.3,7847.4,7765.2,7825.7,
2000-05-24,7825.0,7860.5,7796.8,7846.1,
2000-05-25,7890.1,7938.3,7858.9,7938.3,
2000-05-26,7894.2,7908.5,7817.1,7821.7,
2000-05-29,7848.8,7876.7,7828.9,7846.8,
2000-05-30,7865.4,7872.1,7732.0,7754.3,
2000-05-31,7770.2,7781.4,7713.2,7754.0,
2000-06-02,7776.5,7869.5,7768.0,7841.6,
2000-06-05,7873.7,7873.7,7780.7,7791.1,
2000-06-06,7771.6,7787.2,7709.3,7746.6,
2000-06-07,7768.3,7803.7,7751.9,7797.9,
2000-06-08,7839.3,7868.1,7776.4,7809.8,
2000-06-09,7805.2,7842.0,7780.3,7796.8,
2000-06-13,7805.5,7843.4,7784.6,7817.1,
2000-06-14,7830.6,7888.9,7828.3,7888.1,
2000-06-15,7894.9,7914.8,7827.9,7827.9,
2000-06-16,7851.5,7875.2,7826.4,7845.6,
2000-06-19,7791.8,7810.0,7752.8,7794.6,
2000-06-20,7824.3,7827.5,7793.0,7796.6,
2000-06-21,7805.4,7822.3,7732.0,7760.2,
2000-06-22,7771.6,7786.3,7663.3,7664.4,
2000-06-23,7672.5,7682.4,7629.2,7677.0,
2000-06-26,7685.4,7699.3,7659.7,7686.1,
2000-06-27,7724.2,7732.5,7672.5,7691.8,
2000-06-28,7700.9,7746.3,7700.5,7727.8,
2000-06-29,7734.5,7751.4,7701.2,7710.5,
2000-06-30,7714.5,7792.1,7705.5,7761.6,
2000-07-03,7769.7,7795.0,7746.2,7789.7,
2000-07-04,7796.2,7834.8,7788.7,7828.7,
2000-07-05,7821.6,7884.5,7819.9,7866.7,
2000-07-06,7861.2,7927.3,7847.8,7911.7,
2000-07-07,7917.9,7925.3,7871.5,7903.7,
2000-07-10,7926.3,7931.9,7874.3,7911.1,
2000-07-11,7889.7,7933.0,7878.9,7927.3,
2000-07-12,7949.0,7967.7,7893.1,7895.2,
2000-07-13,7908.4,7955.3,7894.0,7951.7,
2000-07-14,7948.6,7978.0,7889.5,7938.9,
2000-07-17,7954.9,7972.2,7884.2,7903.2,
2000-07-18,7899.1,7943.2,7894.4,7896.2,
2000-07-19,7887.1,7942.4,7879.9,7933.5,
2000-07-20,7923.0,7955.5,7913.7,7946.7,
2000-07-21,7960.3,7961.5,7900.2,7900.4,
2000-07-24,7906.9,8010.1,7901.9,8009.2,
2000-07-25,8010.6,8049.4,8006.3,8014.7,
2000-07-26,8009.1,8016.2,7975.3,8005.4,
2000-07-27,7990.5,8051.4,7971.9,7992.6,
2000-07-28,8009.6,8026.2,7994.6,7997.8,
2000-07-31,8002.4,8033.4,7989.6,8023.2,
2000-08-02,8025.3,8152.5,8022.9,8151.2,
2000-08-03,8152.9,8164.2,8111.7,8137.7,
2000-08-04,8159.0,8188.2,8116.6,8119.6,
2000-08-07,8154.4,8251.0,8153.6,8251.0,
2000-08-08,8240.7,8255.3,8221.1,8253.4,
2000-08-09,8268.8,8316.6,8245.7,8245.7,
2000-08-10,8219.7,8256.2,8163.5,8202.8,
2000-08-11,8192.7,8254.7,8184.3,8236.2,
2000-08-14,8257.7,8305.3,8254.3,8273.1,
2000-08-15,8304.2,8307.4,8242.5,8250.1,
2000-08-16,8258.6,8319.9,8239.9,8318.4,
2000-08-17,8291.2,8302.7,8244.1,8260.8,
2000-08-18,8278.7,8303.4,8248.9,8251.9,
2000-08-21,8267.3,8301.1,8215.3,8289.8,
2000-08-22,8276.8,8327.8,8273.5,8317.4,
2000-08-23,8344.6,8389.7,8339.4,8377.0,
2000-08-24,8379.4,8407.5,8341.5,8349.5,
2000-08-25,8367.5,8373.8,8294.5,8311.7,
2000-08-28,8302.6,8349.1,8300.7,8338.3,
2000-08-29,8336.6,8349.9,8247.1,8257.3,
2000-08-30,8231.1,8243.1,8185.3,8220.0,
2000-08-31,8203.4,8233.0,8183.9,8219.9,
2000-09-01,8231.9,8277.1,8224.7,8234.9,
2000-09-04,8237.9,8249.1,8175.7,8193.5,
2000-09-05,8202.5,8217.2,8143.4,8168.8,
2000-09-06,8147.7,8215.7,8110.5,8129.5,
2000-09-07,8124.9,8149.2,8098.0,8137.2,
2000-09-08,8146.4,8150.7,8070.8,8088.1,
2000-09-11,8097.8,8107.5,8076.9,8095.2,
2000-09-12,8088.7,8091.2,8035.3,8037.1,
2000-09-13,8071.1,8098.0,8029.0,8032.4,
2000-09-14,8019.1,8045.3,7992.4,8002.6,
