Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,5209.54,5384.66,5209.54,5375.11,
2000-01-04,5533.98,5533.98,5376.43,5491.01,
2000-01-05,5265.09,5464.35,5184.48,5357.0,
2000-01-06,5424.21,5489.86,5391.33,5421.53,
2000-01-07,5358.28,5463.25,5330.58,5414.48,
2000-01-10,5617.59,5668.28,5459.97,5518.39,
2000-01-11,5513.04,5537.69,5221.28,5296.3,
2000-01-12,5267.85,5494.3,5267.85,5491.2,
2000-01-13,5568.64,5652.22,5430.81,5444.82,
2000-01-14,5460.31,5476.38,5344.59,5471.27,
2000-01-17,5617.7,5664.5,5404.07,5404.07,
2000-01-18,5414.26,5465.54,5347.92,5464.51,
2000-01-19,5496.68,5528.12,5460.68,5478.24,
2000-01-20,5508.04,5516.16,5348.56,5355.8,
2000-01-21,5352.63,5441.83,5330.08,5423.05,
2000-01-24,5529.38,5583.22,5439.48,5458.06,
2000-01-25,5412.49,5430.29,5351.22,5367.79,
2000-01-27,5424.14,5457.3,5362.25,5369.1,
2000-01-28,5417.53,5417.53,5331.54,5335.8,
2000-01-31,5338.67,5345.3,5186.32,5205.29,
2000-02-01,5217.65,5232.84,5127.79,5215.54,
2000-02-02,5264.62,5342.98,5264.62,5304.92,
2000-02-03,5366.62,5381.74,5323.32,5340.19,
2000-02-04,5394.0,5402.7,5313.59,5313.59,
2000-02-07,5431.55,5518.29,5431.55,5474.0,
2000-02-08,5585.38,5647.64,5585.38,5610.56,
2000-02-09,5704.01,5756.87,5635.69,5649.1,
2000-02-10,5765.28,5789.04,5715.05,5789.04,
2000-02-11,5985.05,6005.85,5917.04,5933.56,
2000-02-14,6130.23,6150.69,5923.17,5924.31,
2000-02-15,5797.31,5941.88,5774.32,5803.19,
2000-02-16,5782.2,5864.97,5711.75,5725.5,
2000-02-17,5810.24,5877.04,5799.79,5835.15,
2000-02-18,5894.19,5894.19,5681.98,5721.65,
2000-02-21,5874.25,5941.9,5834.51,5876.89,
2000-02-22,6000.3,6009.02,5864.79,5883.33,
2000-02-23,6002.49,6033.98,5612.55,5642.46,
2000-02-24,5764.16,5816.16,5620.83,5810.17,
2000-02-25,5840.25,5840.25,5623.08,5623.08,
2000-02-28,5737.53,5740.69,5580.05,5740.69,
2000-02-29,5827.81,5903.49,5383.61,5446.98,
2000-03-01,5464.65,5681.11,5341.61,5642.12,
2000-03-02,5803.33,5828.79,5528.31,5528.31,
2000-03-03,5602.94,5602.94,5362.8,5378.27,
2000-03-06,5662.29,5692.97,5459.61,5520.69,
2000-03-07,5674.99,5674.99,5525.89,5589.85,
2000-03-08,5711.88,5783.51,5439.14,5511.42,
2000-03-09,5579.87,5607.94,5278.68,5328.79,
2000-03-10,5384.42,5478.97,5196.72,5301.78,
2000-03-13,5372.82,5430.87,5100.62,5129.22,
2000-03-14,5020.55,5177.55,4943.3,5175.71,
2000-03-15,5067.42,5339.94,5045.99,5249.76,
2000-03-16,5249.98,5301.44,5077.33,5102.41,
2000-03-21,5177.59,5230.36,5085.53,5133.24,
2000-03-22,5204.07,5247.28,5159.36,5201.87,
2000-03-23,5314.32,5314.32,5088.1,5115.02,
