Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-11-26,95.92,95.92,95.92,95.92,
2001-11-27,94.57,94.57,94.57,94.57,
2001-11-28,93.36,93.36,93.36,93.36,
2001-11-29,94.21,94.21,94.21,94.21,
2001-11-30,97.51,97.51,97.51,97.51,
2001-12-03,99.47,99.47,99.47,99.47,
2001-12-04,102.25,102.25,102.25,102.25,
2001-12-05,104.25,104.25,104.25,104.25,
2001-12-06,103.64,103.64,103.64,103.64,
2001-12-07,104.65,104.65,104.65,104.65,
2001-12-10,105.97,105.97,105.97,105.97,
2001-12-11,110.29,110.29,110.29,110.29,
2001-12-12,112.11,112.11,112.11,112.11,
2001-12-13,111.01,111.01,111.01,111.01,
2001-12-14,110.84,110.84,110.84,110.84,
2001-12-17,110.06,110.06,110.06,110.06,
2001-12-18,110.23,110.23,110.23,110.23,
2001-12-19,117.97,117.97,117.97,117.97,
2001-12-20,118.41,118.41,118.41,118.41,
2001-12-21,118.63,118.63,118.63,118.63,
2002-01-02,118.7,118.7,118.7,118.7,
2002-01-03,118.81,118.81,118.81,118.81,
2002-01-04,113.05,113.05,113.05,113.05,
2002-01-07,112.9,112.9,112.9,112.9,
2002-01-08,112.22,112.22,112.22,112.22,
2002-01-09,113.02,113.02,113.02,113.02,
2002-01-10,113.62,113.62,113.62,113.62,
2002-01-11,115.24,115.24,115.24,115.24,
2002-01-14,111.93,111.93,111.93,111.93,
2002-01-15,112.47,112.47,112.47,112.47,
2002-01-16,116.29,116.29,116.29,116.29,
2002-01-17,122.21,122.21,122.21,122.21,
2002-01-18,128.92,128.92,128.92,128.92,
2002-01-21,138.49,138.49,138.49,138.49,
2002-01-22,137.94,137.94,137.94,137.94,
2002-01-23,138.59,138.59,138.59,138.59,
2002-01-24,134.42,134.42,134.42,134.42,
2002-01-25,126.52,126.52,126.52,126.52,
2002-01-28,124.42,124.42,124.42,124.42,
2002-01-29,120.6,120.6,120.6,120.6,
2002-01-30,113.56,113.56,113.56,113.56,
2002-01-31,117.44,117.44,117.44,117.44,
2002-02-01,118.53,118.53,118.53,118.53,
2002-02-04,119.04,119.04,119.04,119.04,
2002-02-05,120.68,120.68,120.68,120.68,
2002-02-06,121.6,121.6,121.6,121.6,
2002-02-07,120.74,120.74,120.74,120.74,
