Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,2502.28,2582.94,2502.28,2582.94,
2000-01-04,2580.5,2580.5,2520.8,2530.15,
2000-01-05,2481.73,2481.73,2373.67,2391.03,
2000-01-06,2404.79,2427.97,2318.17,2359.21,
2000-01-07,2358.33,2406.04,2349.48,2406.04,
2000-01-10,2436.77,2467.92,2432.29,2433.68,
2000-01-11,2448.06,2460.88,2384.01,2409.7,
2000-01-12,2402.28,2435.1,2381.97,2427.56,
2000-01-13,2426.85,2430.47,2381.86,2394.32,
2000-01-14,2398.35,2398.35,2363.86,2392.53,
2000-01-17,2398.89,2401.84,2331.26,2342.04,
2000-01-18,2332.56,2348.75,2303.53,2319.77,
2000-01-19,2306.24,2306.24,2253.57,2254.87,
2000-01-20,2265.25,2315.53,2265.25,2315.53,
2000-01-21,2309.74,2310.83,2259.56,2278.48,
2000-01-24,2263.03,2291.34,2247.41,2264.64,
2000-01-25,2261.36,2261.36,2234.05,2238.83,
2000-01-26,2252.76,2265.62,2246.74,2259.5,
2000-01-27,2262.66,2305.72,2262.66,2305.72,
2000-01-28,2318.66,2325.3,2284.91,2284.91,
2000-01-31,2281.83,2281.83,2223.41,2230.28,
2000-02-01,2241.78,2256.88,2223.2,2230.39,
2000-02-02,2240.44,2280.36,2240.44,2271.4,
2000-02-03,2274.13,2274.13,2239.29,2249.33,
2000-02-04,2249.47,2264.54,2243.77,2258.91,
2000-02-08,2264.39,2283.57,2245.48,2245.8,
2000-02-09,2254.96,2285.68,2216.37,2227.32,
2000-02-10,2223.63,2226.39,2189.29,2225.3,
2000-02-11,2235.97,2259.5,2212.28,2234.92,
2000-02-14,2219.32,2254.06,2210.98,2236.16,
2000-02-15,2249.02,2253.94,2183.11,2199.36,
2000-02-16,2203.66,2217.01,2178.75,2212.32,
2000-02-17,2213.34,2241.18,2213.34,2230.05,
2000-02-18,2236.54,2236.54,2177.14,2177.36,
2000-02-21,2160.52,2162.33,2107.7,2115.85,
2000-02-22,2126.08,2143.91,2055.34,2106.62,
2000-02-23,2117.48,2137.7,2080.17,2137.7,
2000-02-24,2141.99,2157.04,2118.42,2123.67,
2000-02-25,2127.11,2148.41,2118.56,2140.4,
2000-02-28,2132.58,2144.72,2118.65,2118.65,
2000-02-29,2123.18,2139.55,2117.36,2120.5,
2000-03-01,2129.17,2139.57,2093.33,2114.05,
2000-03-02,2120.68,2120.68,2098.36,2110.17,
2000-03-03,2112.47,2126.38,2104.96,2117.03,
2000-03-06,2136.12,2154.76,2119.73,2119.97,
2000-03-07,2118.77,2118.77,2073.3,2091.31,
2000-03-08,2072.05,2086.65,2044.65,2072.58,
2000-03-09,2079.78,2098.92,2079.78,2082.29,
2000-03-10,2100.65,2113.9,2096.24,2096.24,
2000-03-13,2090.38,2090.38,2028.13,2042.66,
2000-03-14,2042.51,2056.13,2040.72,2053.47,
2000-03-15,2049.85,2049.85,2015.2,2022.11,
2000-03-17,2061.65,2096.67,2057.25,2094.47,
2000-03-20,2092.18,2099.68,2073.11,2077.1,
2000-03-21,2080.85,2131.56,2079.17,2118.54,
2000-03-22,2132.27,2158.41,2117.76,2133.64,
2000-03-23,2137.22,2151.04,2120.16,2126.85,
2000-03-24,2141.59,2152.68,2137.02,2146.2,
2000-03-27,2157.85,2217.75,2157.85,2217.07,
2000-03-28,2220.32,2234.65,2199.86,2207.63,
2000-03-29,2205.58,2209.76,2173.12,2181.46,
2000-03-30,2182.92,2182.92,2112.24,2116.81,
2000-03-31,2108.24,2132.59,2098.27,2132.59,
2000-04-03,2135.76,2135.76,2060.82,2071.68,
2000-04-04,2074.24,2083.0,2048.68,2058.54,
2000-04-05,2055.24,2062.93,2039.53,2055.3,
2000-04-06,2054.31,2111.51,2050.5,2111.51,
2000-04-07,2114.9,2153.19,2114.9,2150.51,
2000-04-10,2153.03,2168.3,2126.93,2126.93,
2000-04-11,2126.57,2131.38,2095.97,2131.38,
2000-04-12,2132.59,2151.53,2115.75,2135.39,
2000-04-13,2118.88,2163.9,2098.18,2163.9,
2000-04-14,2157.85,2194.13,2136.99,2189.76,
2000-04-17,2090.86,2090.86,1981.29,1999.39,
2000-04-18,2057.69,2069.39,2006.96,2007.17,
2000-04-19,2030.17,2085.03,2030.17,2058.91,
2000-04-20,2054.15,2080.76,2047.27,2080.27,
2000-04-24,2084.83,2097.52,2049.78,2049.78,
2000-04-25,2049.64,2070.83,2047.51,2066.96,
2000-04-26,2079.16,2108.8,2079.16,2108.8,
2000-04-27,2108.54,2162.28,2099.62,2151.72,
2000-04-28,2160.62,2165.57,2147.32,2164.11,
2000-05-02,2172.01,2186.88,2161.3,2166.85,
2000-05-03,2162.23,2175.12,2144.34,2145.23,
2000-05-04,2138.9,2138.9,2109.42,2120.8,
2000-05-05,2123.49,2127.8,2106.13,2118.36,
2000-05-08,2124.16,2134.91,2074.78,2079.38,
2000-05-09,2072.42,2093.14,2064.35,2089.48,
2000-05-10,2085.23,2085.23,2050.54,2057.22,
2000-05-11,2028.38,2028.38,1986.57,2003.72,
2000-05-12,2012.79,2038.4,2010.6,2026.65,
2000-05-15,2027.26,2029.88,2007.59,2011.46,
2000-05-16,2015.28,2054.65,2015.28,2054.65,
2000-05-17,2046.09,2046.09,2005.64,2011.83,
2000-05-19,2010.61,2015.17,1960.35,1992.42,
2000-05-22,1985.38,1985.38,1922.08,1929.88,
2000-05-23,1926.77,1928.46,1882.7,1905.78,
2000-05-24,1884.56,1884.56,1826.9,1871.94,
