Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-03,5127.89,5294.53,5127.89,5151.36,
2000-01-04,5153.26,5155.66,4916.9,4977.74,
2000-01-05,4829.47,4829.47,4613.95,4810.34,
2000-01-06,4813.13,4859.86,4764.88,4789.8,
2000-01-07,4783.87,4989.95,4763.34,4984.45,
2000-01-10,5035.87,5308.02,5035.87,5308.02,
2000-01-11,5338.33,5434.71,5279.3,5330.34,
2000-01-12,5304.43,5339.46,5222.0,5339.46,
2000-01-13,5342.16,5365.36,5301.04,5355.49,
2000-01-14,5370.09,5582.59,5370.09,5582.59,
2000-01-17,5590.8,5708.68,5540.58,5708.68,
2000-01-18,5701.56,5705.33,5479.52,5569.06,
2000-01-19,5543.49,5685.52,5520.76,5677.75,
2000-01-20,5686.54,5950.84,5686.54,5950.84,
2000-01-21,5947.22,6023.0,5871.5,6021.14,
2000-01-24,6035.07,6235.82,6028.78,6153.99,
2000-01-25,6078.98,6078.98,5835.81,6021.22,
2000-01-26,6043.59,6215.59,6039.21,6215.59,
2000-01-27,6207.36,6477.95,6193.1,6460.38,
2000-01-28,6456.28,6484.19,6288.28,6337.53,
2000-01-31,6274.92,6274.92,5994.0,6041.69,
2000-02-01,6074.46,6382.45,6074.46,6360.75,
2000-02-02,6421.43,6530.05,6416.98,6504.94,
2000-02-03,6542.1,6831.05,6542.1,6783.87,
2000-02-04,6826.63,6988.62,6824.8,6947.16,
2000-02-07,6973.93,7100.52,6955.36,7011.95,
2000-02-08,7050.33,7400.46,7050.33,7395.29,
2000-02-09,7429.22,7653.27,7384.56,7431.35,
2000-02-10,7382.21,7508.63,7159.59,7508.63,
2000-02-11,7551.26,7758.91,7551.26,7651.72,
2000-02-14,7560.99,7686.74,7435.44,7637.19,
2000-02-15,7701.12,7748.24,7367.34,7383.51,
2000-02-16,7452.01,7623.3,7325.84,7378.84,
2000-02-17,7399.4,7568.1,7287.06,7563.89,
2000-02-18,7651.51,8051.6,7637.42,8051.6,
2000-02-21,8007.3,8061.73,7692.34,8061.73,
2000-02-22,8090.92,8252.38,8017.16,8106.55,
2000-02-23,8189.14,8496.46,8183.86,8398.86,
2000-02-24,8442.49,8678.66,8284.14,8317.25,
2000-02-25,8335.11,8507.54,8335.11,8414.82,
2000-02-28,8352.76,8352.76,7947.74,8106.66,
2000-02-29,8116.02,8417.52,8116.02,8404.83,
2000-03-01,8463.63,8683.19,8463.63,8635.74,
2000-03-02,8685.29,8809.06,8613.92,8784.58,
2000-03-03,8729.11,9101.8,8728.6,9081.89,
2000-03-06,9108.91,9312.27,9108.68,9235.9,
2000-03-07,9237.12,9295.31,9140.44,9209.58,
2000-03-08,9101.78,9119.63,8851.56,9060.45,
2000-03-09,9077.19,9323.3,9077.19,9323.3,
2000-03-10,9420.48,9694.07,9413.5,9631.53,
2000-03-13,9587.48,9587.48,8955.33,9237.5,
2000-03-14,9225.42,9232.96,8918.87,8994.63,
2000-03-15,8788.86,8856.48,8338.52,8412.46,
2000-03-16,8408.95,8594.08,8358.98,8407.62,
2000-03-17,8608.28,8898.91,8608.28,8702.13,
2000-03-20,8783.3,9163.31,8772.49,9059.12,
2000-03-21,9006.81,9006.81,8511.46,8595.67,
2000-03-22,8836.51,9039.54,8448.81,8516.94,
2000-03-23,8567.74,8666.24,8097.91,8101.41,
2000-03-24,8121.23,8316.62,8121.23,8302.63,
2000-03-27,8345.2,8345.2,8175.56,8309.5,
2000-03-28,8311.93,8395.65,8237.82,8342.97,
2000-03-29,8345.62,8345.62,8122.34,8192.49,
2000-03-30,8137.72,8142.56,7401.56,7521.0,
2000-03-31,7301.37,7587.77,6940.13,7415.47,
2000-04-03,7429.06,7566.03,6870.46,6870.46,
2000-04-04,6719.57,6754.45,6458.97,6553.16,
2000-04-05,6568.87,6734.33,6057.85,6313.27,
2000-04-06,6481.09,7260.28,6481.09,7219.43,
2000-04-07,7353.03,7656.13,7329.95,7531.79,
2000-04-10,7607.07,7852.62,7453.62,7464.77,
2000-04-11,7258.28,7258.28,6816.34,6967.36,
2000-04-12,6967.76,7204.38,6828.19,6883.3,
2000-04-13,6691.97,6893.33,6586.93,6752.33,
2000-04-14,6708.22,6718.37,6356.65,6418.21,
2000-04-17,6235.17,6400.21,5889.26,6338.78,
2000-04-18,6469.14,6655.87,6367.51,6525.49,
2000-04-19,6672.67,6794.2,6574.9,6693.92,
2000-04-20,6654.1,6783.98,6644.4,6722.96,
2000-04-25,6737.7,6774.87,6651.14,6758.98,
2000-04-26,6839.81,7016.47,6837.0,6956.79,
2000-04-27,6952.45,6992.54,6684.4,6836.99,
2000-04-28,6912.99,7225.67,6912.99,7139.12,
2000-05-02,7290.0,7580.3,7290.0,7567.21,
2000-05-03,7499.67,7529.48,7400.37,7444.86,
