Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-04,8413.8,8413.8,8126.9,8202.6,
2000-01-05,8202.6,8202.6,8014.7,8119.42,
2000-01-06,8119.4,8192.2,8069.2,8114.24,
2000-01-07,8114.2,8430.0,8114.2,8429.42,
2000-01-10,8429.4,8618.5,8429.4,8602.5,
2000-01-11,8602.5,8643.5,8432.3,8442.61,
2000-01-12,8442.6,8478.6,8324.8,8359.96,
2000-01-13,8360.0,8456.4,8360.0,8417.94,
2000-01-14,8417.9,8534.6,8343.9,8357.46,
2000-01-17,8357.5,8494.5,8357.5,8479.27,
2000-01-18,8479.3,8604.4,8429.9,8589.65,
2000-01-19,8589.7,8694.3,8589.7,8635.07,
2000-01-20,8635.1,8741.0,8635.1,8682.93,
2000-01-21,8682.9,8755.6,8634.5,8634.5,
2000-01-24,8634.9,8762.9,8452.3,8458.75,
2000-01-25,8458.8,8540.7,8407.7,8505.48,
2000-01-26,8505.5,8683.3,8505.5,8582.57,
2000-01-27,8582.6,8763.0,8562.7,8645.84,
2000-01-28,8645.8,8645.8,8386.6,8390.4,
2000-01-31,8390.4,8529.4,8297.4,8481.11,
2000-02-01,8481.1,8549.8,8435.0,8535.26,
2000-02-02,8535.3,8811.5,8535.3,8769.5,
2000-02-03,8769.5,8939.9,8767.8,8894.39,
2000-02-04,8894.4,9282.5,8894.4,9209.2,
2000-02-07,9209.2,9243.1,9111.1,9155.95,
2000-02-08,9156.0,9309.4,9156.0,9300.77,
2000-02-09,9300.8,9456.5,9255.2,9255.22,
2000-02-10,9255.2,9357.4,9255.2,9321.0,
2000-02-11,9321.0,9355.2,9150.9,9156.7,
2000-02-14,9156.7,9314.6,9156.7,9314.54,
2000-02-15,9314.5,9420.5,9230.4,9356.06,
2000-02-16,9356.1,9505.0,9269.3,9428.61,
2000-02-17,9428.6,9565.7,9428.6,9463.54,
2000-02-18,9463.5,9514.1,9295.5,9295.51,
2000-02-21,9295.5,9295.5,9228.9,9231.16,
2000-02-22,9231.2,9338.5,9139.9,9194.86,
2000-02-23,9194.9,9345.4,9194.9,9314.96,
2000-02-24,9315.0,9402.3,9204.0,9214.18,
2000-02-25,9214.2,9246.3,9133.1,9141.17,
2000-02-28,9141.2,9235.6,9043.7,9223.42,
2000-02-29,9223.4,9353.9,9128.99,9128.99,
2000-03-01,9129.0,9463.3,9129.0,9411.58,
2000-03-02,9411.6,9544.2,9411.6,9516.06,
2000-03-03,9516.1,9621.2,9462.9,9462.9,
2000-03-06,9462.9,9644.5,9462.9,9580.87,
2000-03-07,9580.9,9668.0,9377.8,9425.48,
2000-03-08,9425.5,9488.9,9277.4,9281.14,
2000-03-09,9281.1,9415.3,9281.1,9413.67,
2000-03-10,9413.7,9564.8,9413.7,9487.1,
2000-03-13,9487.1,9510.8,9209.6,9461.57,
2000-03-14,9461.6,9587.9,9393.3,9393.83,
2000-03-15,9393.8,9442.6,9191.9,9293.61,
2000-03-16,9293.6,9586.8,9293.6,9488.04,
2000-03-17,9488.0,9716.6,9488.0,9528.81,
2000-03-20,9528.8,9721.6,9528.8,9568.33,
2000-03-21,9568.3,9674.4,9430.5,9651.4,
2000-03-22,9651.4,9889.8,9610.9,9871.55,
2000-03-23,9871.6,10057.8,9868.5,9990.13,
2000-03-24,9990.1,10177.8,9990.1,10052.68,
2000-03-27,10052.7,10132.7,10036.5,10043.04,
2000-03-28,10043.0,10043.0,9893.0,9922.85,
2000-03-29,9922.9,9936.6,9629.6,9702.16,
2000-03-30,9702.2,9702.2,9269.8,9394.02,
2000-03-31,9394.0,9641.3,9355.9,9462.39,
2000-04-03,9462.4,9571.4,9336.6,9374.73,
2000-04-04,9374.7,9461.9,8656.4,9141.84,
2000-04-05,9141.8,9327.8,8899.4,9226.53,
2000-04-06,9226.5,9503.5,9226.5,9441.27,
2000-04-07,9441.3,9648.2,9441.3,9465.19,
2000-04-10,9465.2,9646.6,9449.1,9460.94,
2000-04-11,9460.9,9460.9,9252.8,9358.03,
2000-04-12,9358.0,9372.9,9047.67,9047.67,
2000-04-13,9047.7,9155.7,8908.4,8965.41,
2000-04-14,8965.4,8965.4,8399.2,8473.51,
2000-04-17,8473.5,8783.0,8342.5,8769.56,
2000-04-18,8769.6,9085.2,8769.6,9069.5,
2000-04-19,9069.5,9119.0,8985.2,9034.01,
2000-04-20,9034.0,9052.1,8897.0,8959.69,
2000-04-24,8959.7,8959.7,8741.7,8822.48,
2000-04-25,8822.5,9140.6,8822.5,9108.41,
2000-04-26,9108.4,9421.8,9108.4,9378.0,
2000-04-27,9378.0,9386.8,9167.2,9322.66,
2000-04-28,9322.7,9436.5,9322.7,9347.61,
2000-05-01,9347.6,9556.5,9347.6,9527.26,
2000-05-02,9527.3,9558.7,9464.3,9510.28,
2000-05-03,9511.1,9511.1,9287.1,9291.31,
2000-05-04,9291.3,9447.6,9291.3,9414.05,
2000-05-05,9414.1,9597.32,9349.5,9597.32,
2000-05-08,9597.3,9597.3,9296.2,9337.54,
2000-05-09,9337.5,9440.3,9213.7,9294.39,
2000-05-10,9294.4,9294.4,8999.3,9097.1,
2000-05-11,9097.1,9209.4,9090.4,9132.61,
2000-05-12,9132.6,9305.2,9132.6,9211.8,
2000-05-15,9211.8,9307.0,9185.3,9281.89,
2000-05-16,9281.9,9585.9,9281.9,9582.03,
2000-05-17,9582.0,9601.2,9409.8,9552.83,
2000-05-18,9552.8,9629.2,9517.7,9549.85,
2000-05-19,9549.9,9549.9,9253.6,9293.14,
2000-05-23,9293.1,9293.1,8986.58,8986.58,
2000-05-24,8986.6,9156.8,8807.0,9144.16,
2000-05-25,9144.2,9281.8,9043.7,9043.7,
2000-05-26,9043.7,9145.3,8974.1,9020.88,
2000-05-29,9020.9,9062.5,8999.9,9060.05,
2000-05-30,9060.1,9370.1,9060.1,9344.13,
2000-05-31,9344.1,9416.4,9251.99,9251.99,
2000-06-01,9252.0,9552.24,9252.0,9552.24,
2000-06-02,9552.2,9839.8,9552.2,9747.67,
2000-06-05,9747.7,9757.1,9635.3,9679.65,
2000-06-06,9679.7,9685.6,9579.3,9609.94,
2000-06-07,9609.9,9609.9,9507.5,9557.65,
2000-06-08,9557.7,9657.7,9546.7,9652.39,
2000-06-09,9652.4,9747.9,9652.4,9728.84,
2000-06-12,9728.8,9844.5,9728.8,9819.63,
2000-06-13,9819.6,9897.5,9793.3,9836.5,
2000-06-14,9836.5,10018.6,9836.5,9972.06,
2000-06-15,9972.1,10118.1,9968.4,10110.56,
2000-06-16,10110.6,10113.7,10002.4,10035.66,
2000-06-19,10035.7,10174.8,10017.7,10136.81,
2000-06-20,10136.8,10286.5,10136.8,10239.88,
2000-06-21,10239.9,10255.6,10135.1,10197.27,
2000-06-22,10197.3,10235.1,10029.9,10064.46,
2000-06-23,10064.5,10105.5,10000.9,10091.09,
2000-06-26,10091.1,10262.1,10091.1,10227.39,
2000-06-27,10227.4,10256.6,10118.7,10165.51,
2000-06-28,10165.5,10294.1,10165.5,10231.33,
2000-06-29,10231.3,10231.3,10083.4,10110.98,
2000-06-30,10111.0,10319.1,10111.0,10195.45,
2000-07-04,10195.5,10362.2,10195.5,10301.41,
2000-07-05,10301.7,10368.1,10294.3,10323.75,
2000-07-06,10323.8,10341.4,10153.1,10242.56,
2000-07-07,10242.6,10380.9,10242.6,10380.28,
2000-07-10,10380.3,10397.0,10235.39,10235.39,
2000-07-11,10235.4,10396.8,10235.4,10350.27,
2000-07-12,10350.3,10572.9,10350.3,10572.85,
2000-07-13,10572.9,10763.2,10572.9,10679.32,
2000-07-14,10679.3,10829.6,10679.3,10778.8,
2000-07-17,10778.8,10878.3,10778.8,10844.52,
2000-07-18,10844.5,10844.5,10687.6,10735.47,
2000-07-19,10735.5,10750.9,10630.0,10637.1,
2000-07-20,10633.2,10834.1,10633.2,10740.8,
2000-07-21,10740.8,10873.9,10702.2,10842.08,
2000-07-24,10842.1,11021.9,10720.3,10783.48,
2000-07-25,10783.5,10966.9,10732.6,10867.07,
2000-07-26,10867.1,10978.0,10867.1,10916.07,
2000-07-27,10916.1,10916.1,10683.5,10696.23,
2000-07-28,10696.2,10709.7,10330.4,10342.98,
2000-07-31,10343.0,10583.8,10287.8,10406.31,
2000-08-01,10406.3,10518.6,10317.7,10352.86,
2000-08-02,10352.9,10438.0,10315.5,10368.48,
2000-08-03,10368.5,10432.6,10148.8,10413.68,
2000-08-04,10413.7,10573.0,10413.7,10567.53,
2000-08-08,10567.5,10859.2,10567.5,10858.72,
2000-08-09,10858.7,10999.7,10850.7,10863.01,
2000-08-10,10863.0,10948.5,10788.2,10796.49,
2000-08-11,10796.5,10814.5,10698.8,10788.79,
2000-08-14,10788.8,11002.5,10769.9,10999.13,
2000-08-15,10999.1,11062.5,10970.5,11032.25,
2000-08-16,11032.3,11110.8,10987.7,11031.0,
2000-08-17,11031.0,11135.1,11010.1,11098.2,
2000-08-18,11098.2,11200.4,11098.2,11133.8,
2000-08-21,11133.8,11179.7,11029.1,11073.3,
2000-08-22,11073.3,11188.4,11073.3,11137.2,
2000-08-23,11137.2,11156.7,11087.7,11107.8,
2000-08-24,11107.8,11188.2,11107.8,11179.0,
2000-08-25,11179.0,11290.1,11179.0,11246.0,
2000-08-28,11246.0,11326.3,11222.5,11224.5,
2000-08-29,11224.5,11249.5,11128.4,11128.4,
2000-08-30,11128.4,11198.6,11128.4,11173.6,
2000-08-31,11173.6,11309.2,11173.6,11247.9,
2000-09-01,11247.9,11408.4,11247.9,11388.8,
2000-09-05,11388.8,11423.7,11313.3,11328.2,
2000-09-06,11328.2,11338.3,11124.6,11150.7,
2000-09-07,11150.7,11207.4,10968.8,11061.6,
2000-09-08,11061.6,11061.6,10787.0,10819.8,
2000-09-11,10819.8,10940.3,10645.2,10682.1,
2000-09-12,10682.1,10775.0,10557.0,10557.0,
2000-09-13,10557.0,10805.8,10491.3,10749.6,
2000-09-14,10749.6,11078.1,10749.6,11078.1,
2000-09-15,11078.1,11137.4,11007.3,11063.6,
2000-09-18,11063.6,11103.0,10764.7,10782.0,
2000-09-19,10782.0,10929.1,10765.4,10914.5,
2000-09-20,10914.5,10937.4,10761.2,10813.1,
2000-09-21,10813.1,10813.1,10533.3,10601.0,
2000-09-22,10601.0,10601.0,10336.8,10566.0,
2000-09-25,10566.1,10790.5,10531.9,10631.0,
2000-09-26,10631.0,10696.3,10478.6,10478.6,
2000-09-27,10478.6,10583.8,10201.7,10250.0,
2000-09-28,10250.0,10501.4,10188.9,10431.9,
2000-09-29,10431.9,10480.4,10345.4,10377.9,
2000-10-02,10377.9,10559.4,10377.9,10442.8,
2000-10-03,10442.8,10641.7,10413.0,10456.4,
2000-10-04,10456.4,10557.2,10343.3,10524.7,
2000-10-05,10524.7,10701.5,10514.4,10701.4,
2000-10-06,10701.4,10701.4,10339.0,10432.5,
2000-10-10,10432.5,10584.3,10368.0,10394.8,
2000-10-11,10394.8,10394.8,10032.0,10145.0,
2000-10-12,10145.0,10337.2,9981.5,10026.9,
2000-10-13,10026.9,10334.4,9962.1,10320.8,
2000-10-16,10320.8,10508.5,10243.7,10493.0,
2000-10-17,10493.0,10501.6,10132.6,10132.6,
2000-10-18,10132.6,10132.6,9817.7,9926.8,
2000-10-19,9926.8,10325.0,9926.8,10231.6,
2000-10-20,10231.6,10541.4,10231.6,10485.2,
2000-10-23,10485.2,10569.2,10373.0,10473.0,
2000-10-24,10473.0,10607.2,10306.2,10352.1,
2000-10-25,10352.1,10352.1,9395.4,9511.8,
2000-10-26,9511.8,9521.6,9218.5,9428.7,
2000-10-27,9428.7,9618.0,9321.9,9321.9,
2000-10-30,9321.9,9321.9,9179.8,9253.1,
2000-10-31,9253.1,9640.6,9253.1,9639.6,
2000-11-01,9639.6,9663.9,9535.5,9594.0,
2000-11-02,9594.0,9655.6,9544.4,9623.3,
2000-11-03,9623.3,9764.8,9623.3,9720.4,
2000-11-06,9720.4,9799.4,9632.7,9714.2,
2000-11-07,9714.2,9714.2,9574.5,9576.8,
2000-11-08,9576.8,9669.8,9542.2,9552.5,
2000-11-09,9552.5,9552.5,9322.0,9411.5,
2000-11-10,9411.5,9411.5,9199.1,9199.1,
2000-11-13,9199.1,9199.1,8943.5,9115.1,
2000-11-14,9115.1,9284.7,9115.1,9265.3,
2000-11-15,9265.3,9265.3,9134.4,9187.1,
2000-11-16,9187.1,9187.1,8929.2,8964.2,
2000-11-17,8964.2,8964.2,8764.5,8953.0,
2000-11-20,8953.0,8953.0,8835.3,8935.1,
2000-11-21,8935.1,9088.6,8889.5,9013.9,
2000-11-22,9013.9,9013.9,8781.8,8844.6,
2000-11-23,8844.6,8924.7,8807.3,8924.7,
2000-11-24,8924.7,9043.7,8924.7,9024.4,
2000-11-27,9024.4,9196.3,9024.4,9127.4,
2000-11-28,9127.4,9127.4,8920.6,8925.2,
2000-11-29,8925.2,8950.2,8736.4,8821.1,
2000-11-30,8821.1,8823.1,8588.0,8819.9,
2000-12-01,8819.9,8988.8,8819.9,8941.2,
2000-12-04,8941.2,8976.1,8889.7,8944.7,
