Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-04,6930.2,6930.2,6662.9,6665.9,
2000-01-05,6665.9,6665.9,6500.4,6535.9,
2000-01-06,6535.9,6547.3,6424.4,6447.2,
2000-01-07,6447.2,6532.4,6438.8,6504.8,
2000-01-10,6504.8,6634.2,6504.8,6607.7,
2000-01-11,6607.7,6638.1,6510.8,6518.9,
2000-01-12,6518.9,6532.8,6470.3,6532.8,
2000-01-13,6532.8,6596.5,6509.4,6531.5,
2000-01-14,6531.5,6666.8,6531.5,6658.2,
2000-01-17,6658.2,6694.3,6638.3,6669.5,
2000-01-18,6669.5,6695.9,6491.5,6504.6,
2000-01-19,6504.6,6505.9,6434.4,6445.4,
2000-01-20,6445.4,6492.7,6328.3,6348.7,
2000-01-21,6348.7,6374.7,6287.1,6346.3,
2000-01-24,6346.3,6480.4,6346.3,6379.8,
2000-01-25,6379.8,6379.8,6262.9,6274.1,
2000-01-26,6274.1,6380.0,6270.4,6375.6,
2000-01-27,6375.6,6451.6,6375.6,6441.0,
2000-01-28,6441.0,6475.1,6354.8,6375.6,
2000-01-31,6375.6,6375.6,6246.8,6268.5,
2000-02-01,6268.5,6367.1,6231.9,6290.9,
2000-02-02,6290.9,6345.2,6241.6,6302.8,
2000-02-03,6302.8,6393.5,6251.6,6324.3,
2000-02-04,6324.3,6364.9,6171.2,6185.0,
2000-02-07,6185.0,6232.1,6100.7,6118.6,
2000-02-08,6118.6,6295.7,6117.3,6285.8,
2000-02-09,6285.8,6450.9,6271.5,6315.4,
2000-02-10,6315.4,6320.0,6199.8,6279.8,
2000-02-11,6279.8,6325.7,6127.4,6193.3,
2000-02-14,6193.3,6197.5,6029.7,6068.6,
2000-02-15,6068.6,6167.5,5972.7,6005.2,
2000-02-16,6005.2,6147.4,6002.5,6147.4,
2000-02-17,6147.4,6262.2,6102.9,6209.3,
2000-02-18,6209.3,6264.1,6151.4,6165.0,
2000-02-21,6165.0,6193.6,6029.9,6081.6,
2000-02-22,6081.6,6172.8,6002.7,6014.7,
2000-02-23,6014.7,6167.3,6014.7,6144.1,
2000-02-24,6144.1,6288.8,6070.9,6086.7,
2000-02-25,6086.7,6198.0,6086.7,6198.0,
2000-02-28,6198.0,6271.1,6054.1,6099.6,
2000-02-29,6099.6,6245.5,6099.6,6232.6,
2000-03-01,6232.6,6387.3,6232.6,6364.9,
2000-03-02,6364.9,6432.1,6324.2,6432.1,
2000-03-03,6432.1,6506.3,6403.0,6487.5,
2000-03-06,6487.5,6593.3,6457.0,6567.8,
2000-03-07,6567.8,6568.3,6465.5,6466.5,
2000-03-08,6466.5,6479.7,6387.2,6411.2,
2000-03-09,6411.2,6544.2,6411.2,6532.1,
2000-03-10,6532.1,6642.5,6532.1,6568.7,
2000-03-13,6568.7,6914.0,6380.6,6466.9,
2000-03-14,6466.9,6539.7,6457.1,6487.1,
2000-03-15,6487.1,6487.1,6396.1,6447.0,
2000-03-16,6447.0,6618.2,6447.0,6557.2,
2000-03-17,6557.2,6713.1,6504.1,6558.0,
2000-03-20,6558.0,6653.4,6523.3,6624.5,
2000-03-21,6624.5,6630.6,6543.4,6617.9,
2000-03-22,6617.9,6692.3,6551.7,6609.6,
