Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2000-01-03,94.79,94.79,94.79,94.79
2000-01-04,94.79,94.79,94.79,94.79
2000-01-05,94.79,94.79,94.79,94.79
2000-01-06,94.79,94.79,94.79,94.79
2000-01-07,94.79,94.79,94.79,94.79
2000-01-10,95.11,95.11,95.11,95.11
2000-01-11,96.86,96.86,96.86,96.86
2000-01-12,97.44,97.44,97.44,97.44
2000-01-13,98.77,98.77,98.77,98.77
2000-01-14,99.16,99.16,99.16,99.16
2000-01-17,102.07,102.07,102.07,102.07
2000-01-18,102.39,102.39,102.39,102.39
2000-01-19,102.7,102.7,102.7,102.7
2000-01-20,104.67,104.67,104.67,104.67
2000-01-21,103.12,103.12,103.12,103.12
2000-01-24,105.1,105.1,105.1,105.1
2000-01-25,105.49,105.49,105.49,105.49
2000-01-26,105.32,105.32,105.32,105.32
2000-01-27,105.42,105.42,105.42,105.42
2000-01-28,104.35,104.35,104.35,104.35
2000-01-31,102.27,102.27,102.27,102.27
2000-02-01,106.85,106.85,106.85,106.85
2000-02-02,104.28,104.28,104.28,104.28
2000-02-03,104.62,104.62,104.62,104.62
2000-02-04,105.88,105.88,105.88,105.88
2000-02-07,106.56,106.56,106.56,106.56
2000-02-08,107.63,107.63,107.63,107.63
2000-02-09,108.38,108.38,108.38,108.38
2000-02-10,109.33,109.33,109.33,109.33
2000-02-11,110.22,110.22,110.22,110.22
2000-02-14,111.9,111.9,111.9,111.9
2000-02-15,112.82,112.82,112.82,112.82
2000-02-16,114.93,114.93,114.93,114.93
2000-02-17,115.05,115.05,115.05,115.05
2000-02-18,116.07,116.07,116.07,116.07
2000-02-21,118.23,118.23,118.23,118.23
2000-02-22,118.4,118.4,118.4,118.4
2000-02-23,117.33,117.33,117.33,117.33
2000-02-24,115.85,115.85,115.85,115.85
2000-02-25,116.05,116.05,116.05,116.05
2000-02-28,115.13,115.13,115.13,115.13
2000-02-29,113.84,113.84,113.84,113.84
2000-03-01,115.15,115.15,115.15,115.15
2000-03-02,112.87,112.87,112.87,112.87
2000-03-03,114.01,114.01,114.01,114.01
2000-03-06,114.35,114.35,114.35,114.35
2000-03-07,114.96,114.96,114.96,114.96
2000-03-08,114.96,114.96,114.96,114.96
2000-03-09,119.54,119.54,119.54,119.54
2000-03-10,123.88,123.88,123.88,123.88
2000-03-13,130.29,130.29,130.29,130.29
2000-03-14,129.85,129.85,129.85,129.85
2000-03-15,130.07,130.07,130.07,130.07
2000-03-16,133.66,133.66,133.66,133.66
2000-03-17,139.29,139.29,139.29,139.29
2000-03-20,139.61,139.61,139.61,139.61
2000-03-21,139.85,139.85,139.85,139.85
2000-03-22,140.75,140.75,140.75,140.75
2000-03-23,141.98,141.98,141.98,141.98
2000-03-24,142.64,142.64,142.64,142.64
2000-03-27,142.95,142.95,142.95,142.95
2000-03-28,143.61,143.61,143.61,143.61
2000-03-29,140.53,140.53,140.53,140.53
2000-03-30,141.28,141.28,141.28,141.28
2000-03-31,142.32,142.32,142.32,142.32
2000-04-03,143.71,143.71,143.71,143.71
2000-04-04,140.89,140.89,140.89,140.89
2000-04-05,141.43,141.43,141.43,141.43
2000-04-06,136.04,136.04,136.04,136.04
2000-04-07,136.72,136.72,136.72,136.72
2000-04-10,139.24,139.24,139.24,139.24
2000-04-11,139.7,139.7,139.7,139.7
2000-04-12,141.6,141.6,141.6,141.6
2000-04-13,141.21,141.21,141.21,141.21
2000-04-14,140.33,140.33,140.33,140.33
2000-04-17,134.68,134.68,134.68,134.68
2000-04-18,133.66,133.66,133.66,133.66
2000-04-19,136.33,136.33,136.33,136.33
2000-04-20,136.69,136.69,136.69,136.69
2000-04-21,139.07,139.07,139.07,139.07
2000-04-24,140.58,140.58,140.58,140.58
2000-04-25,138.93,138.93,138.93,138.93
2000-04-26,139.63,139.63,139.63,139.63
2000-04-27,139.53,139.53,139.53,139.53
2000-04-28,142.64,142.64,142.64,142.64
2000-05-01,142.64,142.64,142.64,142.64
2000-05-02,142.64,142.64,142.64,142.64
2000-05-03,142.64,142.64,142.64,142.64
2000-05-04,143.03,143.03,143.03,143.03
