Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-01-04,15208.78,17639.26,15208.78,17512.19,
2000-01-05,17512.19,17802.14,16237.71,16932.0,
2000-01-06,16932.0,17460.66,16086.8,16200.02,
2000-01-07,16200.02,16305.56,15623.53,15837.36,
2000-01-11,15837.36,16388.32,15293.17,16347.39,
2000-01-12,16347.39,17304.22,16347.39,16933.59,
2000-01-13,16933.59,18256.75,16933.59,18130.2,
2000-01-14,18138.2,19332.07,18138.2,19110.3,
2000-01-17,19110.3,20617.92,18301.29,18458.25,
2000-01-18,18458.25,19577.27,18182.54,19577.27,
2000-01-19,19487.5,20316.2,18228.4,18414.0,
2000-01-20,18414.0,18414.0,17343.61,18037.6,
2000-01-21,18030.76,18324.9,16928.24,17257.96,
2000-01-24,17257.96,17668.86,16419.89,17663.58,
2000-01-25,17663.58,17819.43,17006.75,17218.73,
2000-01-26,17218.73,18014.37,17218.73,18014.37,
2000-01-27,18014.37,18519.52,17865.2,18098.64,
2000-01-28,18098.64,18814.21,17878.71,18172.32,
2000-01-31,18172.32,18400.83,16633.93,16714.95,
2000-02-01,16714.95,17036.94,16175.62,16342.23,
2000-02-02,16342.23,16921.56,15795.46,16040.49,
2000-02-03,16040.49,16385.2,15378.9,16096.86,
2000-02-04,16096.86,17029.61,15754.5,16870.62,
2000-02-07,16870.62,17376.09,16260.92,16377.87,
2000-02-08,16377.87,16462.57,15647.98,16050.29,
2000-02-09,16050.29,16192.17,15309.15,15433.4,
2000-02-10,15433.4,15829.58,14890.54,15829.58,
2000-02-11,15829.58,16165.07,15388.05,15598.19,
2000-02-14,15598.19,15730.61,15083.49,15237.4,
2000-02-15,15237.4,15913.39,15174.28,15859.28,
2000-02-16,15859.28,16106.57,15645.6,15833.74,
2000-02-17,15833.74,15994.34,15136.02,15341.54,
2000-02-18,15341.54,15380.22,14751.79,15363.59,
2000-02-21,15363.59,15363.59,14279.45,14569.0,
2000-02-22,14569.0,14701.9,13758.32,13994.19,
2000-02-23,13994.19,14126.31,13171.15,13447.08,
2000-02-24,13447.08,14652.08,13413.56,14652.08,
2000-02-25,14652.08,15631.93,14652.08,15618.18,
2000-02-28,15618.18,16084.4,15143.11,15315.29,
2000-02-29,15315.29,15945.93,15111.68,15945.93,
2000-03-01,15945.93,17199.25,15945.93,17199.25,
2000-03-02,17199.25,17407.97,16682.79,16939.68,
2000-03-03,16939.68,17066.84,16396.13,16783.53,
2000-03-06,16783.53,16942.05,16391.22,16563.36,
2000-03-07,16563.36,17223.19,16313.27,17223.19,
2000-03-08,17223.19,17500.88,16927.54,17344.16,
2000-03-09,17344.16,18425.59,17296.29,18314.72,
2000-03-10,18314.72,18537.71,17537.61,17841.25,
2000-03-20,17841.25,18455.52,17313.69,17443.92,
2000-03-21,17443.92,17816.92,17259.06,17545.57,
2000-03-22,17545.57,17678.44,16740.38,16823.26,
2000-03-23,16823.26,17439.05,16823.26,17439.05,
2000-03-24,17439.05,17762.35,17374.04,17669.19,
2000-03-27,17669.19,17852.91,17399.48,17612.22,
2000-03-28,17612.22,17612.22,17111.2,17277.23,
2000-03-29,17277.23,17425.55,16790.9,16951.35,
2000-03-30,16951.35,16951.35,15200.74,15686.08,
2000-03-31,15686.08,15920.1,15477.05,15920.1,
2000-04-03,15920.1,16240.74,15629.69,15760.8,
2000-04-04,15760.8,16756.28,15760.8,16216.02,
2000-04-05,16216.02,16216.02,15186.97,15863.39,
2000-04-06,15863.39,16916.72,15693.28,16916.72,
2000-04-07,16916.72,17126.03,16699.68,16900.84,
2000-04-10,16900.84,17486.83,16661.91,16855.32,
2000-04-11,16855.32,17007.24,16401.37,16558.71,
2000-04-12,16558.71,17298.27,16558.71,16902.82,
2000-04-13,16902.82,17807.81,16902.82,17746.34,
2000-04-14,17746.34,18461.62,17571.17,18367.31,
2000-04-17,18367.31,18367.31,16910.65,17245.54,
2000-04-18,17245.54,17962.03,16631.74,16708.94,
2000-04-19,16708.94,17341.46,16657.43,16809.37,
2000-04-20,16809.37,17032.6,16391.36,16938.84,
2000-04-21,16938.84,17082.08,16787.26,16985.87,
2000-04-24,16985.87,17176.4,16474.61,17002.13,
2000-04-25,17002.13,17955.69,17002.13,17955.69,
2000-04-26,17955.69,19235.47,17955.69,18582.02,
2000-04-27,18582.02,18738.46,18221.7,18470.06,
2000-04-28,18470.06,19257.43,18435.5,19205.71,
2000-05-01,19205.71,19599.6,18943.85,19059.41,
2000-05-02,19059.41,19576.57,18799.2,19406.02,
2000-05-03,19406.02,19587.33,18944.34,19092.13,
2000-05-04,19092.13,19291.69,17856.19,18027.86,
2000-05-05,18027.86,18143.69,17430.85,18086.12,
2000-05-08,18086.12,18194.46,17178.87,17344.82,
2000-05-09,17344.82,17973.99,16942.32,17973.99,
2000-05-10,17973.99,18269.01,17627.96,17777.13,
2000-05-11,17777.13,17896.7,17175.13,17896.7,
2000-05-12,17896.7,17980.39,17427.2,17557.46,
2000-05-15,17604.12,17604.12,16854.62,17013.03,
2000-05-16,17013.03,17492.53,17013.03,17492.53,
2000-05-17,17492.53,17627.15,16802.94,16925.31,
2000-05-18,16925.31,16984.55,16123.24,16449.27,
2000-05-22,16449.27,16449.27,15613.66,16241.29,
