Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2000-01-03,1197.69,1228.25,1197.46,1204.88
2000-01-04,1203.95,1204.81,1189.82,1194.41
2000-01-05,1194.28,1194.28,1170.15,1192.89
2000-01-07,1192.9,1227.14,1192.9,1223.61
2000-01-10,1224.01,1238.36,1224.01,1236.09
2000-01-11,1235.88,1238.98,1224.16,1225.68
2000-01-12,1225.18,1225.18,1201.73,1206.27
2000-01-13,1206.21,1212.58,1198.23,1201.93
2000-01-14,1201.66,1211.12,1199.1,1205.32
2000-01-17,1205.56,1211.73,1187.97,1193.62
2000-01-18,1193.14,1193.54,1164.39,1164.86
2000-01-19,1165.0,1168.86,1158.43,1168.75
2000-01-20,1168.54,1174.76,1160.24,1160.6
2000-01-21,1159.77,1159.77,1136.1,1147.5
2000-01-24,1147.76,1184.1,1146.19,1168.81
2000-01-25,1168.73,1168.73,1141.56,1142.52
2000-01-26,1142.11,1150.3,1133.83,1145.91
2000-01-27,1145.84,1152.78,1141.17,1149.17
2000-01-28,1148.54,1161.06,1141.93,1154.89
2000-01-31,1154.39,1154.39,1125.19,1126.01
2000-02-01,1126.38,1126.49,1099.09,1099.09
2000-02-02,1098.85,1114.37,1093.71,1101.89
2000-02-03,1102.8,1109.39,1096.6,1102.16
2000-02-04,1102.09,1110.63,1050.96,1064.03
2000-02-07,1063.68,1065.84,1044.43,1050.54
2000-02-08,1050.22,1090.35,1050.15,1085.86
2000-02-09,1086.26,1116.56,1086.26,1104.32
2000-02-10,1104.52,1109.76,1098.01,1098.33
2000-02-11,1098.14,1114.65,1098.14,1111.96
2000-02-14,1111.98,1133.93,1104.85,1130.04
2000-02-15,1130.11,1138.42,1102.53,1110.06
2000-02-16,1110.42,1123.36,1110.01,1118.64
2000-02-17,1118.61,1124.25,1103.9,1105.08
2000-02-18,1105.41,1115.15,1103.81,1115.15
2000-02-21,1115.11,1115.11,1087.05,1090.17
2000-02-22,1089.66,1102.58,1085.31,1089.52
2000-02-23,1088.34,1104.04,1088.34,1097.19
2000-02-24,1097.3,1103.57,1080.56,1085.49
2000-02-25,1085.23,1095.66,1082.96,1089.04
2000-02-28,1089.13,1089.13,1068.99,1087.82
2000-02-29,1087.32,1101.98,1087.32,1094.62
2000-03-01,1094.59,1097.49,1077.68,1084.12
2000-03-02,1083.64,1090.9,1072.93,1086.47
2000-03-03,1086.6,1090.7,1058.92,1067.44
2000-03-06,1066.0,1074.32,1035.9,1036.24
2000-03-07,1034.84,1037.03,1018.71,1029.37
2000-03-08,1029.09,1051.23,1023.45,1051.18
2000-03-09,1051.03,1068.87,1048.75,1056.57
2000-03-10,1056.65,1090.98,1056.3,1090.08
2000-03-13,1100.33,1100.76,1071.31,1080.57
2000-03-14,1080.3,1095.35,1080.3,1093.45
2000-03-15,1092.85,1097.87,1073.54,1097.87
2000-03-16,1098.28,1115.66,1098.28,1112.33
2000-03-17,1112.25,1127.24,1085.64,1093.36
2000-03-20,1093.53,1112.12,1092.32,1108.24
2000-03-21,1108.37,1108.81,1089.43,1098.91
2000-03-22,1098.69,1105.98,1092.32,1104.47
2000-03-23,1104.3,1111.8,1100.04,1106.1
