Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
2000-01-04;17.51;17.51;17.51;17.51
2000-01-05;17.41;17.41;17.41;17.41
2000-01-06;17.28;17.28;17.28;17.28
2000-01-07;17.19;17.19;17.19;17.19
2000-01-10;17.1;17.1;17.1;17.1
2000-01-11;17.1;17.1;17.1;17.1
2000-01-12;17.09;17.09;17.09;17.09
2000-01-13;17.14;17.14;17.14;17.14
2000-01-14;17.09;17.09;17.09;17.09
2000-01-17;17.05;17.05;17.05;17.05
2000-01-18;17.03;17.03;17.03;17.03
2000-01-19;17.02;17.02;17.02;17.02
2000-01-20;17;17;17;17
2000-01-21;16.99;16.99;16.99;16.99
2000-01-24;16.99;16.99;16.99;16.99
2000-01-25;17.03;17.03;17.03;17.03
2000-01-26;17.29;17.29;17.29;17.29
2000-01-27;17.3;17.3;17.3;17.3
2000-01-28;17.32;17.32;17.32;17.32
2000-01-31;17.34;17.34;17.34;17.34
2000-02-01;17.25;17.25;17.25;17.25
2000-02-02;17.58;17.58;17.58;17.58
2000-02-03;17.56;17.56;17.56;17.56
2000-02-04;17.52;17.52;17.52;17.52
2000-02-07;17.5;17.5;17.5;17.5
2000-02-08;17.5;17.5;17.5;17.5
2000-02-09;17.52;17.52;17.52;17.52
2000-02-10;18.14;18.14;18.14;18.14
2000-02-11;18.2;18.2;18.2;18.2
2000-02-14;18.11;18.11;18.11;18.11
2000-02-15;18.09;18.09;18.09;18.09
2000-02-16;17.67;17.67;17.67;17.67
2000-02-17;17.62;17.62;17.62;17.62
2000-02-18;17.55;17.55;17.55;17.55
2000-02-21;17.58;17.58;17.58;17.58
2000-02-22;17.51;17.51;17.51;17.51
2000-02-23;17.97;17.97;17.97;17.97
2000-02-24;18.34;18.34;18.34;18.34
2000-02-25;17.31;17.31;17.31;17.31
2000-02-28;18.42;18.42;18.42;18.42
2000-02-29;18.59;18.59;18.59;18.59
2000-03-01;18.6;18.6;18.6;18.6
2000-03-02;18.56;18.56;18.56;18.56
2000-03-03;18.57;18.57;18.57;18.57
2000-03-06;18.58;18.58;18.58;18.58
2000-03-07;18.55;18.55;18.55;18.55
2000-03-08;18.5;18.5;18.5;18.5
2000-03-09;18.48;18.48;18.48;18.48
2000-03-10;18.49;18.49;18.49;18.49
