Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
2000-01-03;3.3375;3.3375;3.3375;3.3375
2000-01-04;3.34;3.34;3.34;3.34
2000-01-05;3.34;3.34;3.34;3.34
2000-01-06;3.3287;3.3287;3.3287;3.3287
2000-01-07;3.32;3.32;3.32;3.32
2000-01-10;3.3169;3.3169;3.3169;3.3169
2000-01-11;3.3156;3.3156;3.3156;3.3156
2000-01-12;3.32;3.32;3.32;3.32
2000-01-13;3.32;3.32;3.32;3.32
2000-01-14;3.32;3.32;3.32;3.32
2000-01-17;3.3125;3.3125;3.3125;3.3125
2000-01-18;3.31;3.31;3.31;3.31
2000-01-19;3.3056;3.3056;3.3056;3.3056
2000-01-20;3.3119;3.3119;3.3119;3.3119
2000-01-21;3.31;3.31;3.31;3.31
2000-01-24;3.3188;3.3188;3.3188;3.3188
2000-01-25;3.32;3.32;3.32;3.32
2000-01-26;3.33;3.33;3.33;3.33
2000-01-27;3.43;3.43;3.43;3.43
2000-01-28;3.4844;3.4844;3.4844;3.4844
2000-02-01;3.4962;3.4962;3.4962;3.4962
2000-02-02;3.49;3.49;3.49;3.49
2000-02-03;3.4987;3.4987;3.4987;3.4987
2000-02-04;3.49;3.49;3.49;3.49
2000-02-07;3.495;3.495;3.495;3.495
2000-02-08;3.4975;3.4975;3.4975;3.4975
2000-02-09;3.49;3.49;3.49;3.49
2000-02-10;3.4863;3.4863;3.4863;3.4863
2000-02-11;3.49;3.49;3.49;3.49
2000-02-14;3.49;3.49;3.49;3.49
2000-02-15;3.4894;3.4894;3.4894;3.4894
2000-02-16;3.4875;3.4875;3.4875;3.4875
2000-02-17;3.49;3.49;3.49;3.49
2000-02-18;3.5431;3.5431;3.5431;3.5431
2000-02-21;3.6131;3.6131;3.6131;3.6131
2000-02-22;3.6237;3.6237;3.6237;3.6237
2000-02-23;3.63;3.63;3.63;3.63
2000-02-24;3.6269;3.6269;3.6269;3.6269
2000-02-25;3.5956;3.5956;3.5956;3.5956
2000-02-28;3.6187;3.6187;3.6187;3.6187
