Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
2000-01-03;6.00125;6.00125;6.00125;6.00125
2000-01-04;6.0425;6.0425;6.0425;6.0425
2000-01-05;6.03;6.03;6.03;6.03
2000-01-06;6.03;6.03;6.03;6.03
2000-01-07;6.03;6.03;6.03;6.03
2000-01-10;6.02625;6.02625;6.02625;6.02625
2000-01-11;6.03;6.03;6.03;6.03
2000-01-12;6.03938;6.03938;6.03938;6.03938
2000-01-13;6.04;6.04;6.04;6.04
2000-01-14;6.04;6.04;6.04;6.04
2000-01-17;6.03625;6.03625;6.03625;6.03625
2000-01-18;6.035;6.035;6.035;6.035
2000-01-19;6.0375;6.0375;6.0375;6.0375
2000-01-20;6.04;6.04;6.04;6.04
2000-01-21;6.04;6.04;6.04;6.04
2000-01-24;6.04;6.04;6.04;6.04
2000-01-25;6.04;6.04;6.04;6.04
2000-01-26;6.04;6.04;6.04;6.04
2000-01-27;6.04;6.04;6.04;6.04
2000-01-28;6.04875;6.04875;6.04875;6.04875
2000-01-31;6.0775;6.0775;6.0775;6.0775
2000-02-01;6.09125;6.09125;6.09125;6.09125
2000-02-02;6.1;6.1;6.1;6.1
2000-02-03;6.0975;6.0975;6.0975;6.0975
2000-02-04;6.09;6.09;6.09;6.09
2000-02-07;6.1;6.1;6.1;6.1
2000-02-08;6.1;6.1;6.1;6.1
2000-02-09;6.1;6.1;6.1;6.1
2000-02-10;6.09875;6.09875;6.09875;6.09875
2000-02-11;6.09625;6.09625;6.09625;6.09625
2000-02-14;6.09;6.09;6.09;6.09
2000-02-15;6.09;6.09;6.09;6.09
2000-02-16;6.09;6.09;6.09;6.09
2000-02-17;6.09;6.09;6.09;6.09
2000-02-18;6.11;6.11;6.11;6.11
2000-02-21;6.11;6.11;6.11;6.11
2000-02-22;6.11;6.11;6.11;6.11
2000-02-23;6.11;6.11;6.11;6.11
2000-02-24;6.11;6.11;6.11;6.11
2000-02-25;6.10125;6.10125;6.10125;6.10125
2000-02-28;6.10125;6.10125;6.10125;6.10125
2000-02-29;6.10875;6.10875;6.10875;6.10875
2000-03-01;6.11;6.11;6.11;6.11
2000-03-02;6.11875;6.11875;6.11875;6.11875
2000-03-03;6.12;6.12;6.12;6.12
2000-03-06;6.12;6.12;6.12;6.12
2000-03-07;6.12688;6.12688;6.12688;6.12688
2000-03-08;6.13;6.13;6.13;6.13
2000-03-09;6.14;6.14;6.14;6.14
2000-03-10;6.14375;6.14375;6.14375;6.14375
2000-03-13;6.15;6.15;6.15;6.15
2000-03-14;6.16;6.16;6.16;6.16
2000-03-15;6.1725;6.1725;6.1725;6.1725
2000-03-16;6.19125;6.19125;6.19125;6.19125
2000-03-17;6.21;6.21;6.21;6.21
2000-03-20;6.22875;6.22875;6.22875;6.22875
2000-03-21;6.24125;6.24125;6.24125;6.24125
2000-03-22;6.24625;6.24625;6.24625;6.24625
2000-03-23;6.2475;6.2475;6.2475;6.2475
2000-03-24;6.255;6.255;6.255;6.255
2000-03-27;6.28;6.28;6.28;6.28
2000-03-28;6.28;6.28;6.28;6.28
2000-03-29;6.28;6.28;6.28;6.28
2000-03-30;6.29;6.29;6.29;6.29
2000-03-31;6.29;6.29;6.29;6.29
2000-04-03;6.29;6.29;6.29;6.29
2000-04-04;6.29;6.29;6.29;6.29
2000-04-05;6.27125;6.27125;6.27125;6.27125
2000-04-06;6.27125;6.27125;6.27125;6.27125
2000-04-07;6.28;6.28;6.28;6.28
2000-04-10;6.28;6.28;6.28;6.28
2000-04-11;6.28;6.28;6.28;6.28
2000-04-12;6.28375;6.28375;6.28375;6.28375
2000-04-13;6.28125;6.28125;6.28125;6.28125
2000-04-14;6.28125;6.28125;6.28125;6.28125
2000-04-17;6.2825;6.2825;6.2825;6.2825
2000-04-18;6.2925;6.2925;6.2925;6.2925
2000-04-19;6.31;6.31;6.31;6.31
2000-04-20;6.31813;6.31813;6.31813;6.31813
2000-04-25;6.33375;6.33375;6.33375;6.33375
2000-04-26;6.375;6.375;6.375;6.375
2000-04-27;6.39125;6.39125;6.39125;6.39125
2000-04-28;6.5025;6.5025;6.5025;6.5025
2000-05-02;6.56875;6.56875;6.56875;6.56875
2000-05-03;6.6;6.6;6.6;6.6
2000-05-04;6.6525;6.6525;6.6525;6.6525
2000-05-05;6.67;6.67;6.67;6.67
2000-05-08;6.7;6.7;6.7;6.7
2000-05-09;6.71875;6.71875;6.71875;6.71875
2000-05-10;6.72;6.72;6.72;6.72
2000-05-11;6.72;6.72;6.72;6.72
2000-05-12;6.73375;6.73375;6.73375;6.73375
2000-05-15;6.76;6.76;6.76;6.76
2000-05-16;6.76125;6.76125;6.76125;6.76125
2000-05-17;6.80875;6.80875;6.80875;6.80875
2000-05-18;6.81875;6.81875;6.81875;6.81875
2000-05-19;6.82;6.82;6.82;6.82
2000-05-22;6.82;6.82;6.82;6.82
2000-05-23;6.82;6.82;6.82;6.82
2000-05-24;6.82;6.82;6.82;6.82
2000-05-25;6.8275;6.8275;6.8275;6.8275
2000-05-26;6.82625;6.82625;6.82625;6.82625
2000-05-30;6.84;6.84;6.84;6.84
2000-05-31;6.8625;6.8625;6.8625;6.8625
2000-06-01;6.86875;6.86875;6.86875;6.86875
2000-06-02;6.85125;6.85125;6.85125;6.85125
2000-06-05;6.7925;6.7925;6.7925;6.7925
2000-06-06;6.79;6.79;6.79;6.79
2000-06-07;6.7975;6.7975;6.7975;6.7975
2000-06-08;6.8;6.8;6.8;6.8
2000-06-09;6.81;6.81;6.81;6.81
2000-06-12;6.81;6.81;6.81;6.81
2000-06-13;6.81;6.81;6.81;6.81
2000-06-14;6.7925;6.7925;6.7925;6.7925
2000-06-15;6.7775;6.7775;6.7775;6.7775
2000-06-16;6.775;6.775;6.775;6.775
2000-06-19;6.76188;6.76188;6.76188;6.76188
2000-06-20;6.76125;6.76125;6.76125;6.76125
2000-06-21;6.765;6.765;6.765;6.765
2000-06-22;6.7725;6.7725;6.7725;6.7725
2000-06-23;6.77;6.77;6.77;6.77
2000-06-26;6.77438;6.77438;6.77438;6.77438
2000-06-27;6.775;6.775;6.775;6.775
2000-06-28;6.78;6.78;6.78;6.78
