Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
2000-01-03;66.6;66.68;65.75;65.85
2000-01-04;65.73;66.03;65.51;65.78
2000-01-05;65.78;65.91;65.42;65.71
2000-01-06;65.73;65.9;65.39;65.7
2000-01-07;65.73;66.1;65.62;65.96
2000-01-10;65.98;66.23;65.88;66.06
2000-01-11;65.99;66.12;65.6;65.71
2000-01-12;65.74;65.91;65.59;65.76
2000-01-13;65.8;66.07;65.7;65.91
2000-01-14;66.05;66.57;65.95;66.47
2000-01-17;66.51;66.69;66.29;66.47
2000-01-18;66.42;66.58;66.26;66.39
2000-01-19;66.4;66.51;66.13;66.23
2000-01-20;66.17;66.33;65.8;65.89
2000-01-21;65.96;66.27;65.78;66.13
2000-01-24;66.32;66.47;66.06;66.23
2000-01-25;66.21;66.54;66.11;66.49
2000-01-26;66.5;66.74;66.35;66.61
2000-01-27;66.73;67.04;66.59;66.86
2000-01-28;66.97;67.84;66.9;67.74
2000-01-31;67.59;68.04;67.42;67.9
2000-02-01;67.93;68.17;67.75;67.97
2000-02-02;67.94;68.33;67.78;68.03
2000-02-03;67.9;68.36;67.54;67.91
2000-02-04;68.01;68.62;67.83;68.23
2000-02-07;68.24;68.52;68.03;68.2
2000-02-08;68.12;68.26;67.61;67.81
2000-02-09;67.77;67.92;67.42;67.49
2000-02-10;67.52;67.98;67.44;67.84
2000-02-11;67.86;68.49;67.75;68.2
2000-02-14;68.27;68.58;68.03;68.52
2000-02-15;68.47;68.6;68.06;68.21
2000-02-16;68.2;68.32;67.81;67.86
2000-02-17;67.85;68.11;67.58;67.92
2000-02-18;67.92;68.38;67.85;68.13
2000-02-21;68.11;68.28;68.01;68.15
2000-02-22;67.99;68.02;67.21;67.44
2000-02-23;67.52;67.85;67.33;67.76
2000-02-24;67.8;68.18;67.72;68.02
2000-02-25;68.22;68.81;68.14;68.55
2000-02-28;68.61;69.33;68.38;68.54
2000-02-29;68.57;69.21;68.27;69.13
2000-03-01;69.08;69.2;68.32;68.54
2000-03-02;68.61;69.11;68.47;69.03
2000-03-03;69.05;69.18;68.78;69.05
2000-03-06;69.15;69.34;68.82;69.15
2000-03-07;69.21;69.49;68.85;68.98
2000-03-08;68.96;69.27;68.68;68.97
2000-03-09;68.91;69;68.61;68.77
2000-03-10;68.78;69.04;68.66;68.94
2000-03-13;68.96;69.02;68.56;68.82
2000-03-14;68.83;69.2;68.69;68.8
2000-03-15;68.75;69.07;68.62;68.9
2000-03-16;68.92;69.06;68.65;68.75
2000-03-17;68.76;69.07;68.7;68.86
2000-03-20;68.84;69.17;68.76;68.95
2000-03-21;68.94;69.23;68.73;69.02
2000-03-22;69.14;69.5;68.91;69.04
2000-03-23;68.9;69.03;68.43;68.53
2000-03-24;68.37;68.56;68.1;68.13
2000-03-27;68.22;68.68;68.01;68.5
2000-03-28;68.58;68.82;68.39;68.58
2000-03-29;68.68;69.08;68.42;68.72
2000-03-30;68.67;68.81;68.32;68.41
2000-03-31;68.42;68.74;68.09;68.4
2000-04-03;68.48;68.81;68.17;68.44
2000-04-04;68.4;68.61;67.8;68.43
2000-04-05;68.32;68.62;68;68.5
2000-04-06;68.56;68.77;68.33;68.66
2000-04-07;68.65;68.83;68.45;68.77
2000-04-10;68.78;68.93;68.5;68.6
2000-04-11;68.6;68.78;68.45;68.67
2000-04-12;68.73;68.91;68.51;68.58
2000-04-13;68.6;68.81;68.46;68.75
2000-04-14;68.7;68.84;68.36;68.44
2000-04-17;68.41;68.84;68.18;68.75
2000-04-18;68.86;69.14;68.71;69.04
2000-04-19;69.11;69.34;68.87;69.08
2000-04-20;69.11;69.36;69.02;69.26
2000-04-21;69.25;69.36;69.15;69.31
2000-04-24;69.29;69.38;69.02;69.24
2000-04-25;69.39;69.94;69.27;69.66
2000-04-26;69.7;69.95;69.56;69.8
2000-04-27;69.92;70.34;69.74;70.24
2000-04-28;70.2;70.99;70.08;70.79
2000-05-01;70.67;70.84;70.43;70.63
2000-05-02;70.7;70.93;70.29;70.59
2000-05-03;70.71;71.24;70.56;70.94
2000-05-04;70.94;71.82;70.78;71.43
2000-05-05;71.41;71.92;71.14;71.7
2000-05-08;71.7;71.89;71.35;71.6
2000-05-09;71.53;71.73;71.22;71.43
2000-05-10;71.4;72.12;71.24;71.94
2000-05-11;72.03;72.66;71.8;72.2
2000-05-12;72.04;72.21;71.28;71.4
2000-05-15;71.35;72;71.32;71.94
2000-05-16;72.08;72.63;71.97;72.52
2000-05-17;72.65;73.05;72.44;72.65
2000-05-18;72.66;73.29;72.56;72.95
2000-05-19;72.88;73.35;72.48;72.65
2000-05-22;72.63;72.77;72.15;72.39
2000-05-23;72.46;73;72.15;72.72
2000-05-24;72.67;73.1;72.5;72.91
2000-05-25;72.92;73.23;72.54;72.82
2000-05-26;72.59;72.67;71.61;71.77
2000-05-29;71.83;72.07;71.67;71.81
2000-05-30;71.79;71.9;71.19;71.58
2000-05-31;71.56;71.84;71.28;71.4
2000-06-01;71.44;71.99;71.42;71.77
2000-06-02;71.67;71.75;70.82;70.99
2000-06-05;70.96;71.13;70.59;70.64
2000-06-06;70.58;70.84;69.91;70.12
2000-06-07;70.04;70.34;69.83;70.05
2000-06-08;70.09;70.76;69.96;70.54
2000-06-09;70.58;71.05;70.45;70.71
2000-06-12;70.66;70.86;70.41;70.52
2000-06-13;70.46;70.69;70.12;70.58
2000-06-14;70.63;70.88;70.35;70.81
2000-06-15;70.84;71.04;70.34;70.55
2000-06-16;70.43;70.57;70.07;70.16
2000-06-19;70.24;70.48;70.06;70.41
2000-06-20;70.42;70.65;70.06;70.26
2000-06-21;70.32;71.13;70.27;70.99
2000-06-22;71.05;71.26;70.46;70.75
2000-06-23;70.77;71.21;70.59;71.1
2000-06-26;71.03;71.35;70.89;71.21
2000-06-27;71.14;71.29;70.7;70.74
2000-06-28;70.77;70.99;70.53;70.68
2000-06-29;70.64;70.7;70.17;70.33
2000-06-30;70.31;70.61;70.06;70.36
2000-07-03;70.41;70.69;70.28;70.49
2000-07-04;70.47;70.65;70.35;70.45
2000-07-05;70.38;70.68;70.21;70.61
2000-07-06;70.62;70.75;70.31;70.7
2000-07-07;70.72;70.91;70.41;70.61
2000-07-10;70.61;70.71;70.26;70.45
2000-07-11;70.47;70.63;70.31;70.41
2000-07-12;70.56;71.16;70.51;71.06
2000-07-13;71.1;71.48;70.98;71.24
2000-07-14;71.23;71.51;71.11;71.26
2000-07-17;71.28;71.7;71.21;71.47
2000-07-18;71.48;71.84;71.3;71.63
2000-07-19;71.72;71.96;71.63;71.72
2000-07-20;71.65;71.94;71.01;71.14
2000-07-21;71.09;71.31;70.77;70.99
2000-07-24;70.99;71.23;70.84;71.08
2000-07-25;71.01;71.13;70.68;70.94
2000-07-26;70.92;71.02;70.63;70.86
2000-07-27;70.91;71.24;70.82;71.13
2000-07-28;71.23;71.84;71.15;71.68
2000-07-31;71.62;71.91;71.44;71.67
2000-08-01;71.73;72.21;71.55;72.12
2000-08-02;72.17;72.38;71.93;72.07
2000-08-03;72.17;72.78;71.93;72.18
2000-08-04;72.17;72.53;71.83;72
2000-08-07;71.98;72.17;71.65;71.79
2000-08-08;71.86;72.32;71.79;72.11
2000-08-09;72.13;72.41;72.06;72.16
2000-08-10;72.1;72.39;71.89;72.18
2000-08-11;72.28;72.41;71.85;72.24
2000-08-14;72.22;72.4;71.92;72.14
2000-08-15;72.07;72.17;71.67;71.99
2000-08-16;71.98;72.27;71.79;72
2000-08-17;71.99;72.18;71.9;72.06
2000-08-18;72.13;72.6;72.04;72.48
2000-08-21;72.52;72.76;72.37;72.7
